month,Employment,Unemployment,Labour force,Population,vacancies,theta
2015-04-01,17819400.0,1337200.0,19156600.0,29000400.0,440425.0,0.3293635955728388
2015-05-01,17843700.0,1324700.0,19168400.0,29020200.0,407040.0,0.3072695704687854
2015-06-01,17836700.0,1326600.0,19163300.0,29048800.0,398910.0,0.30070104025327904
2015-07-01,17863300.0,1336000.0,19199200.0,29074300.0,376570.0,0.2818637724550898
2015-08-01,17889000.0,1358300.0,19247300.0,29099500.0,369190.0,0.2718029890304057
2015-09-01,17890200.0,1368400.0,19258600.0,29129500.0,406330.0,0.29693802981584333
2015-10-01,17899100.0,1351500.0,19250600.0,29152400.0,362955.0,0.2685571587125416
2015-11-01,17872600.0,1374200.0,19246800.0,29173100.0,369510.0,0.2688909911221074
2015-12-01,17867400.0,1397400.0,19264800.0,29193600.0,363455.0,0.26009374552740805
2016-01-01,17871600.0,1396100.0,19267700.0,29218700.0,366230.0,0.2623236157868348
2016-02-01,17889000.0,1408100.0,19297100.0,29249300.0,351520.0,0.249641360698814
2016-03-01,17892800.0,1397200.0,19290000.0,29274300.0,363180.0,0.2599341540223304
2016-04-01,17919700.0,1413800.0,19333500.0,29298900.0,340915.0,0.24113382373744519
2016-05-01,17947400.0,1362100.0,19309500.0,29333500.0,362565.0,0.2661808971441157
2016-06-01,17954500.0,1345100.0,19299600.0,29366100.0,379755.0,0.282324734220504
2016-07-01,17943200.0,1346800.0,19290000.0,29400700.0,372520.0,0.2765963765963766
2016-08-01,17994200.0,1334900.0,19329100.0,29436700.0,392960.0,0.2943741104202562
2016-09-01,18032500.0,1352700.0,19385300.0,29465700.0,365650.0,0.27031122939306573
2016-10-01,18051200.0,1341000.0,19392200.0,29492900.0,372475.0,0.2777591349739001
2016-11-01,18076000.0,1326500.0,19402500.0,29518300.0,378000.0,0.2849604221635884
2016-12-01,18104000.0,1349100.0,19453100.0,29542600.0,405300.0,0.30042250389148323
2017-01-01,18172500.0,1339100.0,19511500.0,29575400.0,403585.0,0.3013852587558808
2017-02-01,18216600.0,1295800.0,19512400.0,29601200.0,417475.0,0.32217549004476
2017-03-01,18241500.0,1307700.0,19549100.0,29632800.0,440615.0,0.33693890035940965
2017-04-01,18271600.0,1273000.0,19544700.0,29664600.0,424100.0,0.33315003927729775
2017-05-01,18312900.0,1302800.0,19615700.0,29705000.0,428365.0,0.3288033466380104
