month,employment,unemployment,labour_force,population,vacancies,theta
1980-01-01,10882600,877500,11760100,18317900,273345.0,0.3115042735042735
1980-02-01,10902900,894000,11796900,18346400,259678.0,0.2904675615212528
1980-03-01,10897800,901000,11798900,18373900,254211.0,0.2821431742508324
1980-04-01,10938300,908300,11846700,18407700,256944.0,0.28288450952328525
1980-05-01,10891600,923900,11815500,18437000,235077.0,0.25443987444528626
1980-06-01,10936800,918300,11855100,18474100,235077.0,0.2559915060437765
1980-07-01,10935000,905600,11840600,18501100,265145.0,0.2927837897526502
1980-08-01,10970300,907900,11878100,18529000,243277.0,0.2679557219958145
1980-09-01,11051900,876200,11928100,18564000,251477.0,0.2870086738187628
1980-10-01,11083100,873100,11956200,18591500,265145.0,0.30368228152559845
1980-11-01,11127000,857700,11984700,18617400,265145.0,0.3091348956511601
1980-12-01,11140000,874100,12014100,18642600,262411.0,0.30020707012927583
1981-01-01,11206500,892300,12098800,18671800,262411.0,0.29408382830886476
1981-02-01,11283300,899800,12183100,18700600,270039.0,0.3001100244498778
1981-03-01,11278700,902400,12181200,18725000,271565.0,0.30093639184397164
1981-04-01,11315800,868300,12184100,18749900,273091.0,0.31451226534607857
1981-05-01,11345800,877200,12223000,18775200,284279.0,0.3240754673962608
1981-06-01,11375600,887900,12263600,18806100,289746.0,0.3263272891091339
1981-07-01,11336400,879400,12215800,18829000,281545.0,0.32015578803729816
1981-08-01,11353800,861200,12215000,18852500,284279.0,0.33009637714816537
1981-09-01,11328700,1003900,12332600,18880800,273345.0,0.272283095925889
1981-10-01,11300100,1020400,12320500,18904400,236475.0,0.23174735397883184
1981-11-01,11291500,1019500,12311000,18927100,221219.0,0.21698773908778812
1981-12-01,11236000,1071700,12307700,18949700,224143.0,0.2091471493888215
1982-01-01,11205600,1059700,12265300,18976300,190706.0,0.17996225346796263
1982-02-01,11166900,1092800,12259700,19001700,176975.0,0.16194637628111275
1982-03-01,11140500,1139700,12280200,19023700,163244.0,0.1432341844345003
1982-04-01,11076300,1204800,12281100,19045600,151039.0,0.12536437583001328
1982-05-01,11021900,1271400,12293300,19068300,140359.0,0.11039719993707724
1982-06-01,10940600,1364300,12304800,19096200,103871.0,0.07613501429304405
1982-07-01,10893600,1465200,12358800,19115700,122052.0,0.0833005733005733
1982-08-01,10836300,1478100,12314300,19142000,101138.0,0.06842432852986943
1982-09-01,10806700,1527000,12333700,19162500,90204.0,0.05907269155206287
1982-10-01,10787200,1602100,12389300,19183200,90204.0,0.05630360152300106
1982-11-01,10764100,1600400,12364600,19203300,90204.0,0.056363409147713074
1982-12-01,10774100,1624400,12398500,19222600,103871.0,0.06394422556020685
1983-01-01,10801100,1572900,12374000,19244200,119000.0,0.07565643079661771
1983-02-01,10818200,1573600,12391800,19266500,90204.0,0.057323335027961365
1983-03-01,10874900,1554700,12429600,19285100,125103.0,0.08046761433073905
1983-04-01,10932600,1553700,12486300,19304200,129680.0,0.08346527643689258
1983-05-01,10952500,1556500,12509000,19328100,114805.0,0.07375843238034051
1983-06-01,11021400,1557300,12578700,19346500,137308.0,0.08817055159571052
1983-07-01,11073400,1492900,12566200,19363300,140359.0,0.0940176837028602
1983-08-01,11126600,1472800,12599500,19386400,143411.0,0.097373030961434
1983-09-01,11174200,1432000,12606300,19405300,144936.0,0.10121229050279329
1983-10-01,11163300,1419200,12582500,19424200,147988.0,0.10427564825253664
1983-11-01,11162000,1415900,12577900,19443700,133939.0,0.09459636980012713
1983-12-01,11187400,1429100,12616500,19462200,152565.0,0.10675600027989644
1984-01-01,11168600,1423300,12591900,19483700,136672.0,0.0960247312583433
1984-02-01,11203900,1425400,12629300,19506200,144873.0,0.10163673354847762
1984-03-01,11205900,1424700,12630600,19524200,166295.0,0.11672281883905383
1984-04-01,11198500,1456000,12654500,19546800,172398.0,0.11840521978021978
1984-05-01,11245500,1494000,12739500,19566700,150340.0,0.10062918340026773
1984-06-01,11314500,1442900,12757400,19586500,181552.0,0.12582438145401623
1984-07-01,11356600,1427100,12783700,19609700,155807.0,0.10917735267325344
1984-08-01,11349300,1441100,12790400,19628800,186129.0,0.1291575879536465
1984-09-01,11373800,1527900,12901700,19648200,161274.0,0.10555271941881013
1984-10-01,11387700,1455600,12843300,19672400,186129.0,0.12787098103874692
1984-11-01,11391100,1462300,12853400,19691500,158540.0,0.10841824523011694
1984-12-01,11430300,1425900,12856200,19709600,153073.0,0.10735184795567712
1985-01-01,11481700,1364700,12846400,19730900,161274.0,0.11817542316992746
1985-02-01,11506300,1386000,12892300,19748600,164007.0,0.11833116883116883
1985-03-01,11531400,1421400,12952900,19766500,174941.0,0.12307654425214577
1985-04-01,11571500,1404400,12975900,19789400,207488.0,0.14774138422101965
1985-05-01,11613700,1371800,12985500,19809000,188608.0,0.13748942994605629
1985-06-01,11627000,1391300,13018300,19828700,188608.0,0.13556242363257384
1985-07-01,11681100,1358400,13039500,19852400,222744.0,0.16397526501766785
1985-08-01,11712100,1348100,13060200,19872800,227321.0,0.16862324753356575
1985-09-01,11723300,1331700,13055100,19898700,231898.0,0.1741368176015619
1985-10-01,11754000,1355400,13109400,19919100,207742.0,0.15326988342924597
1985-11-01,11819000,1350200,13169200,19939600,210476.0,0.1558850540660643
1985-12-01,11860500,1326100,13186600,19958200,221409.0,0.16696252168011463
1986-01-01,11903500,1300200,13203700,19981200,226876.0,0.17449315489924627
1986-02-01,11917900,1303800,13221700,19999000,215943.0,0.16562586286240222
1986-03-01,11926300,1298600,13224900,20017200,253257.0,0.19502310180194055
1986-04-01,12008100,1284200,13292300,20041300,254783.0,0.19839822457561127
1986-05-01,11977200,1259500,13236700,20062100,256309.0,0.2035005954743946
1986-06-01,12016900,1272900,13289800,20087600,232343.0,0.18253044229711682
1986-07-01,12017100,1271300,13288400,20105900,254211.0,0.19996145677652796
1986-08-01,12024700,1277500,13302200,20124500,260886.0,0.2042160469667319
1986-09-01,12035200,1265300,13300500,20147100,232343.0,0.183626807871651
1986-10-01,12059600,1253500,13313100,20165800,251477.0,0.20061986437973675
1986-11-01,12082000,1250800,13332800,20183900,276078.0,0.2207211384713783
1986-12-01,12079700,1266900,13346600,20202600,256944.0,0.20281316599573762
1987-01-01,12102000,1274300,13376200,20225300,294450.0,0.23106803735384132
1987-02-01,12131400,1275300,13406700,20248600,289746.0,0.2271983062808751
1987-03-01,12182000,1259300,13441300,20268900,305129.0,0.24230048439609306
1987-04-01,12229500,1237100,13466600,20289900,309706.0,0.2503483954409506
