month,Employment,Labour force,Population,Unemployment,vacancies
2015-04,17819.4,19156.6,29000.4,1337.2,440425.0
2015-05,17843.7,19168.4,29020.2,1324.7,407040.0
2015-06,17836.7,19163.3,29048.8,1326.6,398910.0
2015-07,17863.3,19199.2,29074.3,1336.0,376570.0
2015-08,17889.0,19247.3,29099.5,1358.3,369190.0
2015-09,17890.2,19258.6,29129.5,1368.4,406330.0
2015-10,17899.1,19250.6,29152.4,1351.5,362955.0
2015-11,17872.6,19246.8,29173.1,1374.2,369510.0
2015-12,17867.4,19264.8,29193.6,1397.4,363455.0
2016-01,17871.6,19267.7,29218.7,1396.1,366230.0
2016-02,17889.0,19297.1,29249.3,1408.1,351520.0
2016-03,17892.8,19290.0,29274.3,1397.2,363180.0
2016-04,17919.7,19333.5,29298.9,1413.8,340915.0
2016-05,17947.4,19309.5,29333.5,1362.1,362565.0
2016-06,17954.5,19299.6,29366.1,1345.1,379755.0
2016-07,17943.2,19290.0,29400.7,1346.8,372520.0
2016-08,17994.2,19329.1,29436.7,1334.9,392960.0
2016-09,18032.5,19385.3,29465.7,1352.7,365650.0
2016-10,18051.2,19392.2,29492.9,1341.0,372475.0
2016-11,18076.0,19402.5,29518.3,1326.5,378000.0
2016-12,18104.0,19453.1,29542.6,1349.1,405300.0
2017-01,18172.5,19511.5,29575.4,1339.1,403585.0
2017-02,18216.6,19512.4,29601.2,1295.8,417475.0
2017-03,18241.5,19549.1,29632.8,1307.7,440615.0
2017-04,18271.6,19544.7,29664.6,1273.0,424100.0
2017-05,18312.9,19615.7,29705.0,1302.8,428365.0
2017-06,18371.4,19647.3,29739.5,1275.9,424240.0
2017-07,18416.9,19653.7,29776.2,1236.7,432815.0
2017-08,18436.4,19661.7,29821.4,1225.3,435465.0
2017-09,18442.5,19668.0,29855.7,1225.5,463465.0
2017-10,18475.1,19721.9,29889.3,1246.8,459760.0
2017-11,18550.5,19766.2,29921.7,1215.7,494655.0
2017-12,18619.7,19818.0,29953.3,1198.3,488460.0
2018-01,18576.8,19745.7,29996.8,1168.9,478875.0
2018-02,18570.3,19758.5,30027.7,1188.3,498380.0
2018-03,18630.1,19785.1,30065.1,1155.0,508080.0
2018-04,18613.0,19757.1,30112.8,1144.1,500015.0
2018-05,18621.7,19781.9,30152.1,1160.2,507270.0
2018-06,18677.6,19861.2,30193.1,1183.6,521290.0
