"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","440425","A","","","0"
"2015-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","407040","A","","","0"
"2015-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","398910","A","","","0"
"2015-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","376570","A","","","0"
"2015-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","369190","A","","","0"
"2015-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","406330","A","","","0"
"2015-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","362955","A","","","0"
"2015-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","369510","A","","","0"
"2015-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","363455","A","","","0"
"2016-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","366230","A","","","0"
"2016-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","351520","A","","","0"
"2016-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","363180","A","","","0"
"2016-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","340915","A","","","0"
"2016-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","362565","A","","","0"
"2016-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","379755","A","","","0"
"2016-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","372520","A","","","0"
"2016-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","392960","A","","","0"
"2016-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","365650","A","","","0"
"2016-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","372475","A","","","0"
"2016-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","378000","A","","","0"
"2016-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","405300","A","","","0"
"2017-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","403585","A","","","0"
"2017-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","417475","A","","","0"
"2017-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","440615","A","","","0"
"2017-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","424100","A","","","0"
"2017-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","428365","A","","","0"
"2017-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","424240","A","","","0"
"2017-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","432815","A","","","0"
"2017-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","435465","A","","","0"
"2017-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","463465","A","","","0"
"2017-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","459760","A","","","0"
"2017-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","494655","A","","","0"
"2017-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","488460","A","","","0"
"2018-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","478875","A","","","0"
"2018-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","498380","A","","","0"
"2018-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","508080","A","","","0"
"2018-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","500015","A","","","0"
"2018-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","507270","A","","","0"
"2018-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","521290","A","","","0"
"2018-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","527410","A","","","0"
"2018-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","508695","A","","","0"
"2018-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","540645","A","","","0"
"2018-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","573930","A","","","0"
"2018-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","556200","A","","","0"
"2018-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","556580","A","","","0"
"2019-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","545025","A","","","0"
"2019-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","541525","A","","","0"
"2019-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","546310","A","","","0"
"2019-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","547635","A","","","0"
"2019-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","547305","A","","","0"
"2019-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","537835","A","","","0"
"2019-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","535010","A","","","0"
"2019-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","543600","A","","","0"
"2019-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","530585","A","","","0"
"2019-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","537200","A","","","0"
"2019-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","523550","A","","","0"
"2019-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","517665","A","","","0"
"2020-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","578160","A","","","0"
"2020-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","575160","A","","","0"
"2020-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","526180","A","","","0"
"2020-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","587295","A","","","0"
"2020-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","573705","A","","","0"
"2020-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","569290","A","","","0"
"2021-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","554465","A","","","0"
"2021-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","610950","A","","","0"
"2021-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","636750","A","","","0"
"2021-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","640835","A","","","0"
"2021-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","659040","A","","","0"
"2021-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","767715","A","","","0"
"2021-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","815410","A","","","0"
"2021-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","893050","A","","","0"
"2021-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","939920","A","","","0"
"2021-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","930985","A","","","0"
"2021-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","912670","A","","","0"
"2021-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","976980","A","","","0"
"2022-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","911870","A","","","0"
"2022-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","906625","A","","","0"
"2022-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","984390","A","","","0"
"2022-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","979550","A","","","0"
"2022-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","987705","A","","","0"
"2022-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","988430","A","","","0"
"2022-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","983640","A","","","0"
"2022-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","945520","A","","","0"
"2022-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","946285","A","","","0"
"2022-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","902525","A","","","0"
"2022-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","872385","A","","","0"
"2022-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","850450","A","","","0"
"2023-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","845515","A","","","0"
"2023-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","817100","A","","","0"
"2023-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","795090","A","","","0"
"2023-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","787050","A","","","0"
"2023-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","763200","A","","","0"
"2023-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","745085","A","","","0"
"2023-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","726165","A","","","0"
"2023-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","713645","A","","","0"
"2023-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","658355","A","","","0"
"2023-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","683205","A","","","0"
"2023-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","672685","A","","","0"
"2023-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","632215","A","","","0"
"2024-01","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","656025","A","","","0"
"2024-02","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","650790","A","","","0"
"2024-03","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","598770","A","","","0"
"2024-04","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","592725","A","","","0"
"2024-05","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","567895","A","","","0"
"2024-06","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","551125","A","","","0"
"2024-07","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","549300","A","","","0"
"2024-08","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","539530","A","","","0"
"2024-09","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","535770","A","","","0"
"2024-10","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","532230","A","","","0"
"2024-11","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","539315","A","","","0"
"2024-12","Canada","2016A000011124","Total, all industries","Job vacancies","Number","223","units","0","v1446283287","1.1.1","535090","A","","","0"


