month,vacancies_final,vacancies_final_source
1980-01-01,273345.0,HWI_scaled_to_CFIB_then_StatCan
1980-02-01,259678.0,HWI_scaled_to_CFIB_then_StatCan
1980-03-01,254211.0,HWI_scaled_to_CFIB_then_StatCan
1980-04-01,256944.0,HWI_scaled_to_CFIB_then_StatCan
1980-05-01,235077.0,HWI_scaled_to_CFIB_then_StatCan
1980-06-01,235077.0,HWI_scaled_to_CFIB_then_StatCan
1980-07-01,265145.0,HWI_scaled_to_CFIB_then_StatCan
1980-08-01,243277.0,HWI_scaled_to_CFIB_then_StatCan
1980-09-01,251477.0,HWI_scaled_to_CFIB_then_StatCan
1980-10-01,265145.0,HWI_scaled_to_CFIB_then_StatCan
1980-11-01,265145.0,HWI_scaled_to_CFIB_then_StatCan
1980-12-01,262411.0,HWI_scaled_to_CFIB_then_StatCan
1981-01-01,262411.0,HWI_scaled_to_CFIB_then_StatCan
1981-02-01,270039.0,HWI_scaled_to_CFIB_then_StatCan
1981-03-01,271565.0,HWI_scaled_to_CFIB_then_StatCan
1981-04-01,273091.0,HWI_scaled_to_CFIB_then_StatCan
1981-05-01,284279.0,HWI_scaled_to_CFIB_then_StatCan
1981-06-01,289746.0,HWI_scaled_to_CFIB_then_StatCan
1981-07-01,281545.0,HWI_scaled_to_CFIB_then_StatCan
1981-08-01,284279.0,HWI_scaled_to_CFIB_then_StatCan
1981-09-01,273345.0,HWI_scaled_to_CFIB_then_StatCan
1981-10-01,236475.0,HWI_scaled_to_CFIB_then_StatCan
1981-11-01,221219.0,HWI_scaled_to_CFIB_then_StatCan
1981-12-01,224143.0,HWI_scaled_to_CFIB_then_StatCan
1982-01-01,190706.0,HWI_scaled_to_CFIB_then_StatCan
1982-02-01,176975.0,HWI_scaled_to_CFIB_then_StatCan
1982-03-01,163244.0,HWI_scaled_to_CFIB_then_StatCan
1982-04-01,151039.0,HWI_scaled_to_CFIB_then_StatCan
1982-05-01,140359.0,HWI_scaled_to_CFIB_then_StatCan
1982-06-01,103871.0,HWI_scaled_to_CFIB_then_StatCan
1982-07-01,122052.0,HWI_scaled_to_CFIB_then_StatCan
