series,order,seasonal_order,aic,bic,hqic,loglik,converged
log_vacancies,"(2, 1, 1)","(1, 0, 1, 12)",-1332.651545886445,-1307.048342595197,-1322.627588628983,672.3257729432225,True
log_vacancies,"(1, 1, 0)","(1, 0, 1, 12)",-1322.0916914457862,-1305.015306310961,-1315.4066337587747,665.0458457228931,True
log_vacancies,"(0, 1, 2)","(1, 0, 1, 12)",-1323.7532370697386,-1302.42673100605,-1315.402970411323,666.8766185348693,True
log_vacancies,"(0, 1, 1)","(1, 0, 1, 12)",-1318.078561352926,-1301.0097591587605,-1311.3959231812846,663.039280676463,True
log_vacancies,"(0, 1, 2)","(1, 0, 0, 12)",-1317.9664709619587,-1300.8825172345255,-1311.278999067121,662.9832354809794,True
log_vacancies,"(2, 1, 0)","(1, 0, 1, 12)",-1321.2326662802093,-1299.8966635375025,-1312.8793685656576,665.6163331401046,True
log_vacancies,"(0, 1, 1)","(1, 0, 0, 12)",-1311.857325993566,-1299.0443606979911,-1306.8417220724377,658.928662996783,True
log_vacancies,"(1, 1, 1)","(1, 0, 1, 12)",-1320.237066435534,-1298.9010636928272,-1311.8837687209823,665.118533217767,True
log_vacancies,"(1, 1, 0)","(1, 0, 0, 12)",-1311.0622872518377,-1298.254998400719,-1306.0484939865792,658.5311436259188,True
log_vacancies,"(2, 1, 1)","(1, 0, 0, 12)",-1318.0862805239485,-1296.7502777812417,-1309.7329828093968,664.0431402619743,True
log_vacancies,"(0, 1, 0)","(0, 0, 0, 12)",-1299.443439618181,-1295.1518704786226,-1297.765018607482,650.7217198090905,True
log_vacancies,"(0, 1, 0)","(1, 0, 1, 12)",-1307.730428789318,-1294.9231399381993,-1302.7166355240595,656.865214394659,True
log_vacancies,"(1, 1, 1)","(1, 0, 0, 12)",-1310.1732687561407,-1293.0968836213156,-1303.4882110691292,659.0866343780704,True
log_vacancies,"(1, 1, 0)","(0, 0, 0, 12)",-1301.2492827065248,-1292.6661444274082,-1297.892440685127,652.6246413532624,True
log_vacancies,"(0, 1, 0)","(1, 0, 0, 12)",-1301.13764733997,-1292.5956704762534,-1297.793911392551,652.568823669985,True
log_vacancies,"(0, 1, 1)","(0, 0, 0, 12)",-1300.3802164977956,-1291.8007853559775,-1297.0245530960412,652.1901082488978,True
log_vacancies,"(2, 1, 0)","(1, 0, 0, 12)",-1308.735887411723,-1291.6670852175575,-1302.0532492400816,658.3679437058615,True
log_vacancies,"(1, 1, 0)","(0, 0, 1, 12)",-1303.2967297288856,-1290.4894408777668,-1298.282936463627,654.6483648644428,True
log_vacancies,"(0, 1, 1)","(0, 0, 1, 12)",-1300.5514113585127,-1287.7498097128887,-1295.5394327297818,653.2757056792564,True
log_vacancies,"(2, 1, 0)","(0, 0, 0, 12)",-1299.0434800645398,-1286.174333351813,-1294.0099849619085,652.5217400322699,True
log_vacancies,"(1, 1, 1)","(0, 0, 0, 12)",-1298.944694455644,-1286.075547742917,-1293.9111993530125,652.472347227822,True
log_vacancies,"(2, 1, 0)","(0, 0, 1, 12)",-1302.8137908563579,-1285.737405721533,-1296.1287331693463,655.4068954281789,True
log_vacancies,"(1, 1, 1)","(0, 0, 1, 12)",-1301.7290108299778,-1284.6602086358123,-1295.0463726583364,654.8645054149889,True
log_vacancies,"(0, 1, 0)","(0, 0, 1, 12)",-1293.1205493895825,-1284.58235682217,-1289.7780205460767,648.5602746947912,True
log_vacancies,"(0, 1, 2)","(0, 0, 0, 12)",-1296.7306724453038,-1283.8670967648184,-1291.698949077738,651.3653362226519,True
log_vacancies,"(0, 1, 2)","(0, 0, 1, 12)",-1300.1886553346558,-1283.127450483705,-1293.5084420079233,654.0943276673279,True
log_vacancies,"(1, 1, 2)","(1, 0, 0, 12)",-1304.1823056942678,-1282.8368242757365,-1295.8259835855035,657.0911528471339,True
log_vacancies,"(1, 1, 2)","(1, 0, 1, 12)",-1308.2886592217387,-1282.6968519453126,-1298.2683392316399,660.1443296108694,True
log_vacancies,"(2, 1, 1)","(0, 0, 0, 12)",-1297.5792088360079,-1280.420346552372,-1290.8678820324992,652.7896044180039,True
log_vacancies,"(2, 1, 1)","(0, 0, 1, 12)",-1301.1695854072943,-1279.8335826645875,-1292.8162876927427,655.5847927036472,True
log_vacancies,"(2, 1, 2)","(1, 0, 1, 12)",-1308.268790741397,-1278.411682252233,-1296.578417419615,661.1343953706985,False
log_vacancies,"(2, 1, 2)","(1, 0, 0, 12)",-1303.8052930177078,-1278.2020897264597,-1293.7813357602456,657.9026465088539,False
log_vacancies,"(1, 1, 2)","(0, 0, 0, 12)",-1294.7763351874507,-1277.6249009468036,-1288.067370697363,651.3881675937254,True
log_vacancies,"(1, 1, 2)","(0, 0, 1, 12)",-1293.030432401297,-1271.7039263376084,-1284.6801657428814,651.5152162006485,True
log_vacancies,"(2, 1, 2)","(0, 0, 0, 12)",-1292.286898546747,-1270.847605745938,-1283.9006929341372,651.1434492733734,False
log_vacancies,"(2, 1, 2)","(0, 0, 1, 12)",-1294.8228231126218,-1269.2310158361956,-1284.802503122523,653.4114115563109,False
