series,break_date,observation_index
vacancies,5,5
vacancies,10,10
vacancies,15,15
vacancies,20,20
vacancies,25,25
vacancies,30,30
vacancies,35,35
vacancies,40,40
vacancies,45,45
vacancies,50,50
vacancies,55,55
vacancies,60,60
vacancies,65,65
vacancies,70,70
vacancies,75,75
vacancies,80,80
vacancies,85,85
vacancies,90,90
vacancies,95,95
vacancies,100,100
vacancies,105,105
vacancies,110,110
vacancies,115,115
vacancies,120,120
vacancies,125,125
vacancies,130,130
vacancies,135,135
vacancies,140,140
vacancies,145,145
vacancies,150,150
vacancies,155,155
vacancies,160,160
vacancies,165,165
vacancies,170,170
vacancies,175,175
vacancies,180,180
vacancies,185,185
vacancies,190,190
vacancies,195,195
vacancies,200,200
vacancies,205,205
vacancies,210,210
vacancies,215,215
vacancies,220,220
vacancies,225,225
vacancies,230,230
vacancies,235,235
vacancies,240,240
vacancies,245,245
vacancies,250,250
vacancies,255,255
vacancies,260,260
vacancies,265,265
vacancies,270,270
vacancies,275,275
vacancies,280,280
vacancies,290,290
vacancies,295,295
vacancies,300,300
vacancies,305,305
vacancies,310,310
vacancies,315,315
vacancies,320,320
vacancies,325,325
vacancies,330,330
vacancies,335,335
vacancies,340,340
vacancies,345,345
vacancies,350,350
vacancies,355,355
vacancies,360,360
vacancies,365,365
vacancies,370,370
vacancies,375,375
vacancies,380,380
vacancies,385,385
vacancies,390,390
vacancies,395,395
vacancies,400,400
vacancies,405,405
vacancies,410,410
vacancies,415,415
vacancies,420,420
vacancies,425,425
vacancies,430,430
vacancies,435,435
vacancies,440,440
vacancies,445,445
vacancies,450,450
vacancies,455,455
vacancies,460,460
vacancies,465,465
vacancies,470,470
vacancies,475,475
vacancies,480,480
vacancies,485,485
vacancies,490,490
vacancies,495,495
vacancies,500,500
vacancies,505,505
vacancies,510,510
vacancies,515,515
vacancies,520,520
vacancies,525,525
vacancies,530,530
vacancies,535,535
vacancies,540,540
unemployment,5,5
unemployment,10,10
unemployment,15,15
unemployment,20,20
unemployment,25,25
unemployment,30,30
unemployment,35,35
unemployment,40,40
unemployment,45,45
unemployment,50,50
unemployment,55,55
unemployment,60,60
unemployment,65,65
unemployment,70,70
unemployment,75,75
unemployment,80,80
unemployment,85,85
unemployment,90,90
unemployment,95,95
unemployment,100,100
unemployment,105,105
unemployment,110,110
unemployment,115,115
unemployment,120,120
unemployment,125,125
unemployment,130,130
unemployment,135,135
unemployment,140,140
unemployment,145,145
unemployment,150,150
unemployment,155,155
unemployment,160,160
unemployment,165,165
unemployment,170,170
unemployment,175,175
unemployment,180,180
unemployment,185,185
unemployment,190,190
unemployment,195,195
unemployment,200,200
unemployment,205,205
unemployment,210,210
unemployment,215,215
unemployment,220,220
unemployment,225,225
unemployment,230,230
unemployment,235,235
unemployment,240,240
unemployment,245,245
unemployment,250,250
unemployment,255,255
unemployment,260,260
unemployment,265,265
unemployment,270,270
unemployment,275,275
unemployment,280,280
unemployment,285,285
unemployment,290,290
unemployment,295,295
unemployment,300,300
unemployment,305,305
unemployment,310,310
unemployment,315,315
unemployment,320,320
unemployment,325,325
unemployment,330,330
unemployment,335,335
unemployment,340,340
unemployment,345,345
unemployment,350,350
unemployment,355,355
unemployment,360,360
unemployment,365,365
unemployment,370,370
unemployment,375,375
unemployment,380,380
unemployment,385,385
unemployment,390,390
unemployment,395,395
unemployment,400,400
unemployment,405,405
unemployment,410,410
unemployment,415,415
unemployment,420,420
unemployment,425,425
unemployment,430,430
unemployment,435,435
unemployment,440,440
unemployment,445,445
unemployment,450,450
unemployment,455,455
unemployment,460,460
unemployment,465,465
unemployment,470,470
unemployment,475,475
unemployment,480,480
unemployment,485,485
unemployment,490,490
unemployment,495,495
unemployment,500,500
unemployment,505,505
unemployment,510,510
unemployment,515,515
unemployment,520,520
unemployment,525,525
unemployment,530,530
unemployment,535,535
unemployment,540,540
