horizon,model,RMSE,MAE,MAPE,sMAPE,MASE,n_obs
1,SARIMAX,33058.50473106988,25759.120239275842,4.122968113491282,4.04942244108119,0.7270041520319159,25
1,TBATS_PROPHET,226052.2993178822,201632.2386156734,34.786632231951394,28.19746635496201,5.690701906565018,25
1,VAR,38922.694301553434,29053.041575169136,4.653792812314851,4.5603772146218615,0.8199690695219809,25
1,BiLSTM_Attention,177861.0748005753,140970.6962730984,19.96859472907515,23.093530980957066,3.978640596160898,25
2,SARIMAX,39291.84433192359,31650.39591778163,5.146587087970092,5.01380197267746,0.93782424290623,25
2,TBATS_PROPHET,239911.6136878521,217525.49266733078,38.11374175262175,30.55725025753192,6.44543850268027,25
2,VAR,44570.34593387616,35418.423917138534,5.783930505011008,5.619034551308358,1.0494736521245538,25
2,BiLSTM_Attention,177813.47884842436,142197.11406949436,20.713302141928853,23.750880193381786,4.213403876276732,25
3,SARIMAX,46900.88755269484,36762.38560667416,6.099416740400726,5.895932719088625,1.0930681135567626,25
3,TBATS_PROPHET,252163.1171432457,231163.35554335595,40.88860391538664,32.50700506034639,6.873256150203541,25
3,VAR,50031.38030061534,42460.07152801613,7.077798954644339,6.847366709578064,1.2624792847553346,25
3,BiLSTM_Attention,178608.9194688609,143975.87972459913,21.33517986273357,24.445991111463098,4.280882229244438,25
4,SARIMAX,61684.96254955241,48727.53772483062,8.041030303124185,7.753173017211341,1.4545805026162613,25
4,TBATS_PROPHET,263638.21022088325,245544.17700096354,43.55560995687028,34.443497449851314,7.329813675657039,25
4,VAR,64309.121057941455,53307.60566003475,8.933426219159209,8.586648250243657,1.591301499208112,25
4,BiLSTM_Attention,175041.64112346785,143002.51215805722,21.644838170180563,24.727007150832303,4.268811348213428,25
5,SARIMAX,68714.39896020704,55340.45655087462,9.212156759323024,8.794447207920346,1.6753969816726468,25
5,TBATS_PROPHET,275815.38990295166,261665.52241460243,46.56428405220173,36.62501410237028,7.921756591548985,25
5,VAR,69645.31932533812,58590.725030492846,10.085973812320951,9.600667696932872,1.7737967842722526,25
5,BiLSTM_Attention,167601.95086266834,133996.38714490578,20.787342279084896,23.67061821069275,4.056655050744546,25
6,SARIMAX,75931.26202066423,61308.55332960871,10.405624600064364,9.79279048707748,1.8856071814164546,25
6,TBATS_PROPHET,288918.02605282824,277798.1806108419,49.75128810020716,38.84440327319589,8.543966802283899,25
6,VAR,74628.2869319001,62613.421334319086,11.045153391798676,10.354582567922115,1.9257397297617793,25
6,BiLSTM_Attention,153746.57088260312,123805.32801202689,19.605471176160812,22.340172082481608,3.807759324250028,25
7,SARIMAX,84094.95782605154,65547.50614582635,11.3373442553143,10.486225566948448,2.0698667765319763,25
7,TBATS_PROPHET,301935.9397349512,293280.68034773605,52.97504846102037,41.01747617505435,9.26125145173241,25
7,VAR,83848.07032124928,66914.29418213428,12.065665420196426,11.070202808824881,2.113027368189288,25
7,BiLSTM_Attention,145480.89323347688,117858.7644786105,19.16059412325772,21.699114870878176,3.7217577793829792,25
8,SARIMAX,91916.04650554471,71976.01339446678,12.567723195531725,11.518515125167808,2.2634263046779997,25
8,TBATS_PROPHET,314644.32130338775,307632.03212036507,56.08393873783304,43.03888160743301,9.67409003117017,25
8,VAR,92031.55710026024,75068.5656241322,13.638888051915362,12.413020633749621,2.360677649050922,25
8,BiLSTM_Attention,137919.18271692932,112691.35431170455,18.606136854780964,21.10519181167949,3.5437997136766852,25
9,SARIMAX,97055.49802039801,79243.13978723524,13.823690435054392,12.693608132298145,2.6096868034656757,25
9,TBATS_PROPHET,326653.3588127528,321428.4459227797,59.04327785870414,44.95175364727793,10.585491385568242,25
9,VAR,94000.06651413691,80375.51593734314,14.638673474825294,13.333235837334168,2.646978953971452,25
9,BiLSTM_Attention,129373.9596410614,104466.1652192481,17.545454526318085,19.92837855546334,3.440347940696463,25
10,SARIMAX,101459.58441972986,80621.69824396925,14.229474006392294,12.911486337796319,2.6066735702857518,25
10,TBATS_PROPHET,338409.1488996977,333990.36826759344,62.010314087366666,46.76541961998057,10.798629707087132,25
10,VAR,99286.08301253116,85398.22974088893,15.614570207876218,14.144728669938827,2.7611091463384967,25
10,BiLSTM_Attention,131517.1492323187,104663.97870155197,17.859279766697274,20.279515252710183,3.3840124058996053,25
11,SARIMAX,106964.54126622617,83321.81733904271,14.789363014138296,13.312257293218147,2.8336135920832417,25
11,TBATS_PROPHET,350999.0791689808,347881.13853755756,65.37225959244444,48.80359421453784,11.830763587144075,25
11,VAR,105281.11055308218,93256.05255940514,17.104265312392126,15.458604888352099,3.171457686779682,25
11,BiLSTM_Attention,127523.25619681434,102533.39525848246,17.851297952452928,20.2090658466899,3.4869621393956183,25
12,SARIMAX,109064.31472971075,84158.24118803527,14.916502908186956,13.382771905749594,3.221624991646617,25
12,TBATS_PROPHET,363688.9636487845,361180.6206150344,69.00857684954026,50.85895280016614,13.826198093565397,25
12,VAR,108263.70031789692,101271.53292024149,18.57532156532244,16.854947280368773,3.876731461975908,25
12,BiLSTM_Attention,126691.85335146284,103651.8234635468,18.52647633346996,20.729521030192306,3.9678503279769086,25
