month,actual,chronos_mv_pred
2025-01-01,1495300.0,1464663.3840960239
2025-02-01,1483800.0,1464663.3840960239
2025-03-01,1520600.0,1446827.6298206844
2025-04-01,1553500.0,1440653.7738000152
2025-05-01,1571000.0,1439281.785770054
2025-06-01,1548400.0,1434479.81640092
2025-07-01,1559900.0,1429677.8470317863
2025-08-01,1590100.0,1436537.8322386704
2025-09-01,1596100.0,1434479.81640092
2025-10-01,1550700.0,1437223.781196573
2025-11-01,1483900.0,1421446.0540232535
2025-12-01,1551700.0,1415272.0853598888
