origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred
2022-12-01,2023-01-01,1,1083700.0,1049992.4502765606,1050283.129621511,1049085.6102249422,1066133.7802873803,0.25,0.25,0.25,0.25,1053873.7426025984
2022-12-01,2023-02-01,2,1096300.0,1049830.476499329,1050283.129621511,1065547.6403194324,1075872.0367762556,0.25,0.25,0.25,0.25,1060383.3208041321
2022-12-01,2023-03-01,3,1079200.0,1049806.7763963067,1050283.129621511,1103972.529069014,1087692.8589025687,0.25,0.25,0.25,0.25,1072938.82349735
2022-12-01,2023-04-01,4,1080700.0,1049803.3083208278,1050283.129621511,1130547.000105094,1099786.794387905,0.25,0.25,0.25,0.25,1082605.0581088345
2022-12-01,2023-05-01,5,1111300.0,1049802.8008259716,1050283.129621511,1159673.3712930526,1112846.3105923417,0.25,0.25,0.25,0.25,1093151.4030832192
2022-12-01,2023-06-01,6,1153200.0,1049802.726562465,1050283.129621511,1171418.159106623,1127318.397838757,0.25,0.25,0.25,0.25,1099705.603282339
2022-12-01,2023-07-01,7,1172200.0,1049802.715695223,1050283.129621511,1185074.8913072865,1142611.779445277,0.25,0.25,0.25,0.25,1106943.1290173244
2022-12-01,2023-08-01,8,1164700.0,1049802.7141049814,1050283.129621511,1187245.6783557397,1158089.6344550718,0.25,0.25,0.25,0.25,1111355.289134326
2022-12-01,2023-09-01,9,1181400.0,1049802.7138722755,1050283.129621511,1197886.4519101,1177454.648183539,0.25,0.25,0.25,0.25,1118856.7358968565
2022-12-01,2023-10-01,10,1235900.0,1049802.7138382215,1050283.129621511,1208646.2811499287,1201697.2536561163,0.25,0.25,0.25,0.25,1127607.3445664444
2022-12-01,2023-11-01,11,1253300.0,1049802.713833239,1050283.129621511,1215736.5483016442,1230167.6966745935,0.25,0.25,0.25,0.25,1136497.522107747
2022-12-01,2023-12-01,12,1263300.0,1049802.71383251,1050283.129621511,1221302.098040957,1260242.4456817284,0.25,0.25,0.25,0.25,1145407.5967941766
2023-01-01,2023-02-01,1,1096300.0,1088538.6996341955,1089096.8023937922,1098816.3829904064,1083606.0624433933,0.25,0.25,0.25,0.25,1090014.486865447
2023-01-01,2023-03-01,2,1079200.0,1089246.261613706,1089096.8023937922,1131920.626852195,1095743.3578386763,0.25,0.25,0.25,0.25,1101501.7621745924
2023-01-01,2023-04-01,3,1080700.0,1089349.5030025614,1089096.8023937922,1158274.5935945068,1107225.2288946295,0.25,0.25,0.25,0.25,1110986.5319713727
2023-01-01,2023-05-01,4,1111300.0,1089364.562313321,1089096.8023937922,1184359.8169127486,1119270.7761916248,0.25,0.25,0.25,0.25,1120522.9894528717
2023-01-01,2023-06-01,5,1153200.0,1089366.7588386207,1089096.8023937922,1194577.418813659,1131340.7912757492,0.25,0.25,0.25,0.25,1126095.4428304553
2023-01-01,2023-07-01,6,1172200.0,1089367.0792178742,1089096.8023937922,1196248.9576163644,1143462.614781713,0.25,0.25,0.25,0.25,1129543.863502436
2023-01-01,2023-08-01,7,1164700.0,1089367.1259474815,1089096.8023937922,1203490.9390146,1155642.4399854173,0.25,0.25,0.25,0.25,1134399.3268353227
2023-01-01,2023-09-01,8,1181400.0,1089367.1327633292,1089096.8023937922,1212601.984675904,1168117.1621396414,0.25,0.25,0.25,0.25,1139795.7704931665
2023-01-01,2023-10-01,9,1235900.0,1089367.133757469,1089096.8023937922,1221476.9562247663,1179674.7477440692,0.25,0.25,0.25,0.25,1144903.9100300244
2023-01-01,2023-11-01,10,1253300.0,1089367.1339024722,1089096.8023937922,1220929.095358093,1190867.7843211645,0.25,0.25,0.25,0.25,1147565.2039938807
2023-01-01,2023-12-01,11,1263300.0,1089367.1339236211,1089096.8023937922,1224868.466942073,1200547.2129487318,0.25,0.25,0.25,0.25,1150969.9040520545
2023-01-01,2024-01-01,12,1246400.0,1089367.1339267057,1089096.8023937922,1227555.441179433,1208952.7437594975,0.25,0.25,0.25,0.25,1153743.0303148571
2023-02-01,2023-03-01,1,1079200.0,1098155.75568208,1097447.5957227382,1131435.9402928883,1069491.2931082644,0.25,0.25,0.25,0.25,1099132.6462014928
2023-02-01,2023-04-01,2,1080700.0,1098427.5353320225,1097447.5957227382,1159493.3087381455,1084395.8770298634,0.25,0.25,0.25,0.25,1109941.0792056925
2023-02-01,2023-05-01,3,1111300.0,1098467.305160567,1097447.5957227382,1187130.3473739268,1100093.8101636996,0.25,0.25,0.25,0.25,1120784.764605233
2023-02-01,2023-06-01,4,1153200.0,1098473.124020713,1097447.5957227382,1201186.9708304843,1116434.2196293788,0.25,0.25,0.25,0.25,1128385.4775508286
2023-02-01,2023-07-01,5,1172200.0,1098473.975383035,1097447.5957227382,1204086.323156634,1133720.4565386972,0.25,0.25,0.25,0.25,1133432.0877002762
2023-02-01,2023-08-01,6,1164700.0,1098474.0999462488,1097447.5957227382,1214833.1244260843,1151725.2306791332,0.25,0.25,0.25,0.25,1140620.0126935511
2023-02-01,2023-09-01,7,1181400.0,1098474.1181711438,1097447.5957227382,1224793.4554059603,1175159.433860065,0.25,0.25,0.25,0.25,1148968.6507899768
2023-02-01,2023-10-01,8,1235900.0,1098474.1208376356,1097447.5957227382,1236302.982927675,1200907.512212492,0.25,0.25,0.25,0.25,1158283.0529251352
2023-02-01,2023-11-01,9,1253300.0,1098474.1212277713,1097447.5957227382,1237383.0143871384,1230465.456506649,0.25,0.25,0.25,0.25,1165942.5469610742
2023-02-01,2023-12-01,10,1263300.0,1098474.1212848525,1097447.5957227382,1243078.5833065524,1264111.259634544,0.25,0.25,0.25,0.25,1175777.8899871716
2023-02-01,2024-01-01,11,1246400.0,1098474.1212932037,1097447.5957227382,1246450.087240335,1304174.0213295773,0.25,0.25,0.25,0.25,1186636.4563964636
2023-02-01,2024-02-01,12,1300900.0,1098474.121294425,1097447.5957227382,1247099.8997866355,1349478.2745434216,0.25,0.25,0.25,0.25,1198124.972836805
2023-03-01,2023-04-01,1,1080700.0,1076727.6737550816,1076326.6718506592,1101002.9742935507,1096765.2303819146,0.2321410233543687,0.2362942823183635,0.14600117396548887,0.38556352036177893,1087902.8925473397
2023-03-01,2023-05-01,2,1111300.0,1076367.459571251,1076326.6718506592,1132316.8343068643,1112146.0718663344,0.22541744615258075,0.22894046959015416,0.11476006903052885,0.4308820152267363,1098195.2362859407
2023-03-01,2023-06-01,3,1153200.0,1076314.9179630596,1076326.6718506592,1142514.9582394103,1130899.4929493226,0.2934940601865671,0.2941442378822874,0.08761642955835021,0.3247452723727952,1099844.6691382697
2023-03-01,2023-07-01,4,1172200.0,1076307.2528771532,1076326.6718506592,1139509.1612726017,1152575.3792407685,0.23647341970005997,0.23396032099971117,0.15643048450613153,0.3731357747940973,1114656.8677212219
2023-03-01,2023-08-01,5,1164700.0,1076306.134621594,1076326.6718506592,1148568.674167151,1177172.0159953344,0.16081941551505013,0.16005012685480288,0.26042486913760726,0.41870558849253975,1137361.4922318247
2023-03-01,2023-09-01,6,1181400.0,1076305.9714792804,1076326.6718506592,1165538.6754051135,1207148.0650231745,0.12254232135560908,0.12231185817525052,0.3102027946641747,0.44494302580496575,1162206.0145174796
2023-03-01,2023-10-01,7,1235900.0,1076305.947678435,1076326.6718506592,1168281.8579829722,1242112.6966938898,0.0996179875770683,0.09944704765578626,0.277290892806972,0.5236440719601735,1188635.8121341881
2023-03-01,2023-11-01,8,1253300.0,1076305.9442061265,1076326.6718506592,1164012.2620282287,1284977.0691213745,0.07982693326858967,0.07960850937958938,0.4175946625132792,0.4229698948385418,1201194.8882554567
2023-03-01,2023-12-01,9,1263300.0,1076305.9436995515,1076326.6718506592,1167356.7885326033,1331085.4172340706,0.06506421503145433,0.06492367758996528,0.601979537856924,0.2680325695216565,1199407.2318942663
2023-03-01,2024-01-01,10,1246400.0,1076305.943625647,1076326.6718506592,1177663.1498320403,1373423.3479486655,0.07980350815216886,0.07969143866137741,0.5067024140768641,0.33380263910958974,1226844.1102449999
2023-03-01,2024-02-01,11,1300900.0,1076305.943614866,1076326.6718506592,1180170.3590057795,1408540.4072074925,0.08967856281433992,0.0895811449350135,0.5103903497317754,0.3103499425188712,1232428.1424487752
2023-03-01,2024-03-01,12,1350400.0,1076305.9436132924,1076326.6718506592,1182664.3222296303,1438381.4667700543,0.0823790872949884,0.08226941697379538,0.3880038619182162,0.4473476338130002,1279548.7391095762
2023-04-01,2023-05-01,1,1111300.0,1080918.827947407,1081396.1410349698,1105704.4139733624,1041064.9961853848,0.24996144799904876,0.25410735556619496,0.15032312618026047,0.34560807025449586,1070992.1576019763
2023-04-01,2023-06-01,2,1153200.0,1080950.730038403,1081396.1410349698,1115286.0038141594,1055243.6663170755,0.20265806733067415,0.20471224148142578,0.12256430361231754,0.4700653875755825,1073166.1891699587
2023-04-01,2023-07-01,3,1172200.0,1080955.380461662,1081396.1410349698,1108565.9098708257,1069834.453444068,0.20043055618802094,0.20052605740833307,0.15017122743242683,0.44887215897121907,1080198.197012973
2023-04-01,2023-08-01,4,1164700.0,1080956.0583521524,1081396.1410349698,1108810.634587236,1084758.838338698,0.1782884117507222,0.17768973209250255,0.19670711739802707,0.4473147387587483,1088214.4894599463
2023-04-01,2023-09-01,5,1181400.0,1080956.1571677926,1081396.1410349698,1122862.2439689976,1101124.9653516286,0.1399571798507293,0.13954634709542912,0.2785286067663011,0.4419678662875405,1101603.5643995781
2023-04-01,2023-10-01,6,1235900.0,1080956.1715720766,1081396.1410349698,1123862.1018168088,1119458.6670965613,0.11416302504194034,0.11402758394447307,0.342004269703668,0.42980512130991866,1112228.9213258815
2023-04-01,2023-11-01,7,1253300.0,1080956.1736717797,1081396.1410349698,1114982.695028739,1141022.8178905249,0.08540308823494053,0.08533218384571607,0.2181190967642617,0.6111456311550817,1125125.018344544
2023-04-01,2023-12-01,8,1263300.0,1080956.173977852,1081396.1410349698,1112081.9770973136,1167311.8776582193,0.09828235624873345,0.09813535068374868,0.2710046983593436,0.5325775947081743,1135425.7021402954
2023-04-01,2024-01-01,9,1246400.0,1080956.174022467,1081396.1410349698,1118450.8670977922,1200411.479807772,0.11672300515172299,0.11656551607552809,0.3660238794570771,0.40068759931567177,1142595.671723452
2023-04-01,2024-02-01,10,1300900.0,1080956.1740289708,1081396.1410349698,1121466.7234948317,1243333.182337294,0.11798967130257777,0.11786819986837713,0.4862619519943349,0.27788017683471017,1145828.12279021
2023-04-01,2024-03-01,11,1350400.0,1080956.174029919,1081396.1410349698,1123755.1039983488,1302456.9806559102,0.1316606965976773,0.13157197264494414,0.3780527281668381,0.3587146025905405,1176649.8874161853
2023-04-01,2024-04-01,12,1360600.0,1080956.1740300576,1081396.1410349698,1127271.8718720104,1375839.0091196275,0.11914037720320285,0.11904926078083224,0.2824775845494664,0.4793327774664985,1235438.706600557
2023-05-01,2023-06-01,1,1153200.0,1115834.8227016905,1116133.828888215,1121015.666328044,1073632.108475295,0.2915710152093058,0.2963396428546812,0.2201263768391229,0.19196296509689015,1108962.51226662
2023-05-01,2023-07-01,2,1172200.0,1116497.769396649,1116133.828888215,1113407.144507035,1085341.392121386,0.2619902758666106,0.2640477351808321,0.22887014654186746,0.2450918424106898,1108058.1460490278
2023-05-01,2023-08-01,3,1164700.0,1116594.4928309936,1116133.828888215,1113684.6055272166,1096956.4401485843,0.24377059876425755,0.24446416067637064,0.23472691084164912,0.27703832971772274,1110358.354835112
2023-05-01,2023-09-01,4,1181400.0,1116608.6006078746,1116133.828888215,1127686.4575223655,1109164.2502692118,0.21037555746415904,0.2102815399257196,0.25258554042330206,0.3267573621868192,1116874.375075174
2023-05-01,2023-10-01,5,1235900.0,1116610.6582367492,1116133.828888215,1128603.5167873255,1121954.6098205594,0.17253646135599332,0.1724362681421907,0.32566782510621495,0.32935944539560097,1122194.2046541846
2023-05-01,2023-11-01,6,1253300.0,1116610.9583414674,1116133.828888215,1118363.7641206551,1136525.4081133706,0.1733520171942728,0.1734399109905966,0.32486449499226594,0.3283435768228647,1123636.4110844056
2023-05-01,2023-12-01,7,1263300.0,1116611.0021116354,1116133.828888215,1116071.2101235215,1153481.766306059,0.16117101894377284,0.16123276913353896,0.28074502309239824,0.3968511888302901,1131014.7288409371
2023-05-01,2024-01-01,8,1246400.0,1116611.008495499,1116133.828888215,1122534.7400147712,1171779.8971866472,0.14693310607721544,0.1468945006398153,0.2650002381688804,0.44117215511408897,1142449.6812179503
2023-05-01,2024-02-01,9,1300900.0,1116611.009426582,1116133.828888215,1125531.985388534,1194634.8514582673,0.13076993830737155,0.130707854746035,0.2851549478351557,0.4533672591114377,1154465.9540244034
2023-05-01,2024-03-01,10,1350400.0,1116611.0095623806,1116133.828888215,1126880.7895538665,1225855.2594000013,0.15011451438846452,0.1500922779871724,0.3092068809249795,0.3905863266993836,1162384.1853240426
2023-05-01,2024-04-01,11,1360600.0,1116611.009582186,1116133.828888215,1130142.2812355433,1269048.32617252,0.14422614651100346,0.14424034565349342,0.255839577900789,0.45569392993471414,1189468.7755679558
2023-05-01,2024-05-01,12,1380700.0,1116611.0095850737,1116133.828888215,1131968.0352803788,1324311.125319002,0.11787075847726616,0.11786196450485666,0.20484569363920815,0.5594215833786691,1235892.516323315
2023-06-01,2023-07-01,1,1172200.0,1159523.9472061368,1159278.8641927224,1151061.035480908,1074369.6702385664,0.2916657091381857,0.29556158644050845,0.24728821456614675,0.16548448985515915,1143267.0196683565
2023-06-01,2023-08-01,2,1164700.0,1160461.3472938605,1159278.8641927224,1149582.1909543297,1084229.2226061858,0.2688898166533876,0.2699979543825003,0.23953686451320252,0.22157536445090947,1140644.9594668024
2023-06-01,2023-09-01,3,1181400.0,1160599.9273229705,1159278.8641927224,1167885.747186121,1095652.702478811,0.2501962691974272,0.2504971591900205,0.240242176209661,0.2590643954028911,1145193.8524437796
2023-06-01,2023-10-01,4,1235900.0,1160620.4061308173,1159278.8641927224,1177049.9148131951,1106610.3865713656,0.22012677567392588,0.2197722029745498,0.26450034131046946,0.29560068004105483,1148705.784646947
2023-06-01,2023-11-01,5,1253300.0,1160623.4322312,1159278.8641927224,1168329.0308296098,1118048.9398558962,0.2021242577273814,0.2017908027150918,0.3025906895994362,0.2934942499580906,1150188.3844540436
2023-06-01,2023-12-01,6,1263300.0,1160623.8793863547,1159278.8641927224,1164402.961612098,1130374.678726159,0.19673496108260982,0.19664024619850623,0.2916440950208988,0.3149806976979852,1151933.6279545198
2023-06-01,2024-01-01,7,1246400.0,1160623.9454606592,1159278.8641927224,1177211.7095403215,1143934.3116259389,0.18272211870919225,0.1826547623115392,0.26666696284900465,0.3679561561302639,1158660.6151159087
2023-06-01,2024-02-01,8,1300900.0,1160623.9552241887,1159278.8641927224,1186680.480522802,1158637.9208945911,0.15975142085584948,0.1596340988480276,0.25555959820114865,0.4250548820949744,1166224.05437754
2023-06-01,2024-03-01,9,1350400.0,1160623.9566669057,1159278.8641927224,1191375.7237510532,1175303.336875927,0.15683752260129477,0.15669230017224206,0.26185125288471,0.42461892434175325,1174698.7224069426
2023-06-01,2024-04-01,10,1360600.0,1160623.95688009,1159278.8641927224,1192143.9595479327,1190934.9571334242,0.16889199222851384,0.1687877815412676,0.2658005767039841,0.3965196495262345,1180793.8637534874
2023-06-01,2024-05-01,11,1380700.0,1160623.9569115906,1159278.8641927224,1193568.3818024131,1204837.1520519557,0.15303816107707024,0.1529854126088771,0.23028763888326995,0.4636887874307827,1188506.0340125486
2023-06-01,2024-06-01,12,1423000.0,1160623.956916246,1159278.8641927224,1193663.028851025,1219268.7038448812,0.12153798181484664,0.12148498173531012,0.18176588360588714,0.5752111528439562,1200199.0369441025
2023-07-01,2023-08-01,1,1164700.0,1175050.0297039622,1174301.7559570891,1175535.895672258,1079161.8108858338,0.3052442040240102,0.3089113812542548,0.2538206852330608,0.1320237294886742,1162282.6819978682
2023-07-01,2023-09-01,2,1181400.0,1175474.1407807376,1174301.7559570891,1193924.578914785,1092523.005266293,0.27817013847691663,0.27918237248150557,0.24615241359359577,0.19649507544798203,1163388.9618513586
2023-07-01,2023-10-01,3,1235900.0,1175537.177597063,1174301.7559570891,1206442.1966853158,1105421.4669208971,0.2605305965308599,0.26042755990344224,0.25201306752257574,0.22702877604312227,1167085.6244399836
2023-07-01,2023-11-01,4,1253300.0,1175546.5452824917,1174301.7559570891,1204695.4574951057,1118033.4591782948,0.2374982945797341,0.2364004210514334,0.28854408814183335,0.23755719622699914,1170000.3753752862
