origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred
2022-12-01,2023-01-01,1,788280.0,745844.4511254468,814798.7687985093,722762.0007747647,563054.548421776,0.25,0.25,0.25,0.25,711614.9422801242
2022-12-01,2023-02-01,2,747720.0,733846.1167399171,817307.1980406381,728797.1709264433,546138.8555745383,0.25,0.25,0.25,0.25,706522.3353203842
2022-12-01,2023-03-01,3,790370.0,780896.8828311403,829715.7989375609,766594.9953887041,532380.945005215,0.25,0.25,0.25,0.25,727397.1555406551
2022-12-01,2023-04-01,4,839950.0,787861.8697369224,858769.783616485,760760.338829302,519472.9003008442,0.25,0.25,0.25,0.25,731716.2231208883
2022-12-01,2023-05-01,5,812510.0,773884.875795782,861678.7671582951,733860.6177044661,507179.617847336,0.25,0.25,0.25,0.25,719150.9696264698
2022-12-01,2023-06-01,6,779410.0,759390.7282868505,861327.3484531475,718687.061099276,496109.3116264034,0.25,0.25,0.25,0.25,708878.6123664194
2022-12-01,2023-07-01,7,742230.0,765909.5034781744,865223.0300291702,701863.5194736369,486905.2659422753,0.25,0.25,0.25,0.25,704975.3297308143
2022-12-01,2023-08-01,8,741875.0,766923.3034541054,870836.3701935753,712530.700944118,479131.0519120211,0.25,0.25,0.25,0.25,707355.3566259549
2022-12-01,2023-09-01,9,693950.0,785215.1068366352,885445.5466414622,723064.0941694739,470964.9648146915,0.25,0.25,0.25,0.25,716172.4281155657
2022-12-01,2023-10-01,10,711930.0,786542.338168248,884569.447296033,708904.3384739746,464568.0285792728,0.25,0.25,0.25,0.25,711146.0381293821
2022-12-01,2023-11-01,11,656565.0,754023.6953057863,875294.9920774756,678226.0334302984,459706.84654692863,0.25,0.25,0.25,0.25,691812.8918401222
2022-12-01,2023-12-01,12,534525.0,717459.9089619807,863779.3117717565,649365.4893841048,456940.4219148767,0.25,0.25,0.25,0.25,671886.2830081796
2023-01-01,2023-02-01,1,747720.0,768218.9569699689,819588.1752151398,780058.221629577,533770.118672764,0.25,0.25,0.25,0.25,725408.8681218624
2023-01-01,2023-03-01,2,790370.0,824652.4483297954,832031.7008385241,821006.5105900236,527990.8483783216,0.25,0.25,0.25,0.25,751420.3770341662
2023-01-01,2023-04-01,3,839950.0,833785.6084768736,861207.738257686,810884.7183678016,522457.8834605232,0.25,0.25,0.25,0.25,757083.9871407211
2023-01-01,2023-05-01,4,812510.0,821781.8781597527,864171.625496589,778198.4911583037,517320.46781943965,0.25,0.25,0.25,0.25,745368.1156585213
2023-01-01,2023-06-01,5,779410.0,808322.51405795,863729.4426285485,767814.7746801764,512262.5435230982,0.25,0.25,0.25,0.25,738032.3187224433
2023-01-01,2023-07-01,6,742230.0,816602.9909077251,867657.1562273228,758011.1790420227,507027.7191212259,0.25,0.25,0.25,0.25,737324.761324574
2023-01-01,2023-08-01,7,741875.0,818778.5488304715,873230.322323846,771764.87044495,501567.7352455175,0.25,0.25,0.25,0.25,741335.3692111962
2023-01-01,2023-09-01,8,693950.0,838983.5556834589,887963.2173170291,786078.6032353153,496128.5871555419,0.25,0.25,0.25,0.25,752288.4908478364
2023-01-01,2023-10-01,9,711930.0,840856.0092348419,887251.3448643864,760710.7508406617,490173.6935238388,0.25,0.25,0.25,0.25,744747.9496159322
2023-01-01,2023-11-01,10,656565.0,806757.8994204265,877889.4176451607,732810.166546797,484025.1248510049,0.25,0.25,0.25,0.25,725370.6521158472
2023-01-01,2023-12-01,11,534525.0,768201.9567325058,866394.4327897124,715742.3557729778,478014.02338990255,0.25,0.25,0.25,0.25,707088.1921712746
2023-01-01,2024-01-01,12,600555.0,773571.2464109493,883311.7639128389,731247.5148220008,472465.8826895607,0.25,0.25,0.25,0.25,715149.1019588374
2023-02-01,2023-03-01,1,790370.0,806478.5166339588,828046.4757789151,792308.8781102643,516753.1167492932,0.25,0.25,0.25,0.25,735896.7468181079
2023-02-01,2023-04-01,2,839950.0,811839.5052789846,856395.3207241595,780126.8072472565,509468.1811746775,0.25,0.25,0.25,0.25,739457.4536062694
2023-02-01,2023-05-01,3,812510.0,799406.8884811978,858976.4597996427,747835.540789686,502231.0233329807,0.25,0.25,0.25,0.25,727112.4781008768
2023-02-01,2023-06-01,4,779410.0,785143.3861704217,858690.8446933723,738051.1787503777,495048.8134062621,0.25,0.25,0.25,0.25,719233.5557551085
2023-02-01,2023-07-01,5,742230.0,792346.6771084517,862572.0980533505,725817.5507179125,487999.8778131787,0.25,0.25,0.25,0.25,717184.0509232234
2023-02-01,2023-08-01,6,741875.0,793738.7298305075,868290.7391253199,735945.6551764036,481087.7538233506,0.25,0.25,0.25,0.25,719765.7194888954
2023-02-01,2023-09-01,7,693950.0,812703.4568931711,882754.9683001094,749390.2128149116,474381.3829361196,0.25,0.25,0.25,0.25,729807.5052360779
2023-02-01,2023-10-01,8,711930.0,813956.6971290878,882035.6346592588,724090.256713632,467654.7087260996,0.25,0.25,0.25,0.25,721934.3243070196
2023-02-01,2023-11-01,9,656565.0,780581.9889269093,873130.7668883038,701352.8164560338,461115.4450731601,0.25,0.25,0.25,0.25,704045.2543361017
2023-02-01,2023-12-01,10,534525.0,742998.3774217108,861614.1502432944,684920.6810768032,454979.6102242952,0.25,0.25,0.25,0.25,686128.2047415259
2023-02-01,2024-01-01,11,600555.0,748007.9782356595,877803.6277622734,694100.9539302771,449394.5319561296,0.25,0.25,0.25,0.25,692326.772971085
2023-02-01,2024-02-01,12,588470.0,740944.1156613496,875816.9443103576,702753.9378645105,443156.23622667725,0.25,0.25,0.25,0.25,690667.8085157238
2023-03-01,2023-04-01,1,839950.0,798417.0735070074,860294.9297090307,782912.1254265881,480679.2748659089,0.4192652341963143,0.2446005842022752,0.28569225218928046,0.05044192941213014,793095.4821354141
2023-03-01,2023-05-01,2,812510.0,783899.2415232895,863033.1862201579,757364.1552214972,462487.7703556398,0.42992865517042467,0.241335207324966,0.2860291688593458,0.04270696864526354,781680.7301712531
2023-03-01,2023-06-01,3,779410.0,769689.7153736486,862372.1540894578,756126.6460867416,446510.7809902411,0.6521446534118917,0.1749814415711501,0.15089566678726415,0.021978238229694136,776757.9101140437
2023-03-01,2023-07-01,4,742230.0,775767.8067376052,866139.2678376576,749136.314009302,433963.84340464696,0.4525036255041154,0.24959070702135724,0.2516225549746084,0.04628311249991918,775802.8480771796
2023-03-01,2023-08-01,5,741875.0,776563.8584199498,871669.926110497,758579.7306632309,423621.8749820656,0.4079556183342009,0.1831562610038642,0.34961188551138245,0.05927623515055252,766774.5933578605
2023-03-01,2023-09-01,6,693950.0,794342.609589293,886486.4125552145,768726.7307225256,411118.8892035819,0.31716693154952075,0.15024263956650308,0.46732047153719286,0.06526995734678333,771202.7172918805
2023-03-01,2023-10-01,7,711930.0,794975.4080227865,885864.4427867385,741583.6180704453,401345.3243221733,0.2621762606858271,0.14419182642265668,0.5027242813002178,0.09090763159129839,745455.5360837629
2023-03-01,2023-11-01,8,656565.0,762350.1419505953,876675.4035943155,716408.0512999695,393215.31076256256,0.2566949715441605,0.15936570731900218,0.4717291150175593,0.11221020611927818,717476.7508787867
2023-03-01,2023-12-01,9,534525.0,725734.2282920335,865363.7307266758,702156.1323909161,387561.4040974896,0.20356185746498281,0.12091450189035786,0.5651153647702786,0.11040827587438076,691956.0372954786
2023-03-01,2024-01-01,10,600555.0,730476.9071395444,882680.7714725964,703153.9921377244,383722.3908385386,0.24599890390462414,0.1527046875866209,0.39027646189916804,0.21101994660958698,669883.5405798461
2023-03-01,2024-02-01,11,588470.0,723428.5363896518,880522.4084672859,709086.3058606276,381275.49657775817,0.23899034833826996,0.14449295735441844,0.3414331208534996,0.2750835734538121,647109.9011593407
2023-03-01,2024-03-01,12,595090.0,762218.4118364704,906568.5350145292,726147.4504047135,379444.7281185188,0.2277741523177078,0.12881223544756484,0.32210043920053893,0.3213131730341884,646203.774501213
2023-04-01,2023-05-01,1,812510.0,817238.08117192,859384.4266600093,805461.0847803958,466466.9135424415,0.39112432591845425,0.289019720469329,0.27358160656594277,0.046274347046274075,809965.5298256638
2023-04-01,2023-06-01,2,779410.0,808980.2138038032,859034.8290381288,811787.3332221897,458925.3689793217,0.4406709851086691,0.2479596784030681,0.270210896682885,0.041158439805377894,807742.5430957447
2023-04-01,2023-07-01,3,742230.0,816758.3427417303,862813.1879446189,809925.8714872536,451495.00717338506,0.6781014056593894,0.1280782449578447,0.1718267436807479,0.02199360570201806,813449.5074202784
2023-04-01,2023-08-01,4,741875.0,819903.5054102588,868518.8656298597,821878.1026226515,444087.6375366974,0.4629326668604501,0.18542786200123587,0.3034881286323644,0.04815134250594965,811421.3759558405
2023-04-01,2023-09-01,5,693950.0,840220.973579976,882941.5436605826,837384.0950671415,435820.5161716986,0.40687394048562703,0.1564770767514456,0.38163333319961745,0.05501564956330974,823574.7622525931
2023-04-01,2023-10-01,6,711930.0,842061.3320775778,882071.2546830832,812577.3147922589,427250.84413270507,0.31716848129416775,0.15785670879451102,0.44352721789568816,0.08144759201563297,801514.8872343203
2023-04-01,2023-11-01,7,656565.0,808197.3004052244,873353.2521149828,783838.4519459741,418596.5390674702,0.25582868530471,0.13526068079940864,0.5269403975153333,0.08197023638054819,772239.0110005895
2023-04-01,2023-12-01,8,534525.0,769828.2428092185,862018.4571191029,769335.209071623,410362.3826076048,0.2618408412749111,0.15009620120756403,0.4762371889450744,0.11182576857245052,743233.2966717933
2023-04-01,2024-01-01,9,600555.0,775518.8741537903,878587.8640805515,764757.071892262,402794.8570955898,0.2630827327096242,0.15421969989265547,0.3995716858839913,0.1831258815137291,718858.6171906244
2023-04-01,2024-02-01,10,588470.0,768388.8475297416,876789.2170051729,766516.3047120494,394391.2723315332,0.25859263917003383,0.1493058821773177,0.38962812132166746,0.20247335733098104,708119.520298439
2023-04-01,2024-03-01,11,595090.0,810217.4102932388,902132.8058659862,795023.2936172326,386350.0437543914,0.25583447346040306,0.1458574140067529,0.34686489927062963,0.25144321326221436,711775.0738090378
2023-04-01,2024-04-01,12,642810.0,831608.2828914368,916996.2509122782,798480.7418318891,378524.802831181,0.24617233038115732,0.13737293401702705,0.33876260272747266,0.27769213287434297,706298.188608856
2023-05-01,2023-06-01,1,779410.0,805080.6983778746,865704.7758428497,817264.8789928529,487248.7777826185,0.40763948412261247,0.26640340146519637,0.2850676258433237,0.040889488568867455,811708.4895819906
2023-05-01,2023-07-01,2,742230.0,812081.3640148303,869386.4358683829,815158.0203188866,471288.4983524819,0.44579983786599564,0.22049775434237046,0.2921811806403236,0.04152122715131029,811465.8067555982
2023-05-01,2023-08-01,3,741875.0,815052.5765803076,875042.7368921385,826442.0435509777,456149.30446045095,0.42716155119435256,0.20597921810660755,0.31823034600808436,0.04862888469095551,813580.7110752293
2023-05-01,2023-09-01,4,693950.0,835016.1761641063,889447.8467894301,841250.3008282746,441183.5614290546,0.40853880046708513,0.2029609304391819,0.32775812934399173,0.0607421397497413,824184.7279953638
2023-05-01,2023-10-01,5,711930.0,836719.2876466273,888550.9733871378,816984.2414862465,427464.32164220215,0.3494824228563477,0.20919962211729373,0.34945758100057767,0.091860374025781,803071.5809760282
2023-05-01,2023-11-01,6,656565.0,802913.5720442834,879851.6915535498,789224.3026051152,414632.8675682569,0.30845911334633996,0.18017637307569598,0.4149346574668064,0.0964298561111575,773653.9985796532
2023-05-01,2023-12-01,7,534525.0,764672.9475518104,868642.470536195,774649.3109635033,402326.1897874751,0.2877053830606723,0.16956898770834697,0.4292207710984487,0.1135048581325321,745456.8993782937
2023-05-01,2024-01-01,8,600555.0,770230.0611729312,885475.7752949743,770521.1835098239,390442.55943608336,0.28819836972403323,0.18517376783027814,0.34654505479927034,0.18008280764641832,723278.2316676022
2023-05-01,2024-02-01,9,588470.0,763094.8400134629,883927.4359958903,771168.5994313556,378548.0738341149,0.27247563474049163,0.1628212690730343,0.3638300222460789,0.2008730739403952,708461.3417090484
2023-05-01,2024-03-01,10,595090.0,804622.8725938611,909056.6376358856,800695.4967528684,366589.1176162729,0.2694422277186411,0.1586587336176586,0.3523321309091551,0.21956690775454527,723630.7437308736
2023-05-01,2024-04-01,11,642810.0,825818.6801313338,923839.5151107316,805858.1756008093,355979.8877981164,0.25995822057109863,0.15657443364891882,0.3243342486273251,0.2591330971526575,712941.5801951262
2023-05-01,2024-05-01,12,616605.0,815001.6778637512,923490.4021696332,797366.8344932776,346846.35727008834,0.25753223335878594,0.14994754151008136,0.34289448855947313,0.2496257365716596,708358.7880235037
2023-06-01,2023-07-01,1,742230.0,790866.0900893275,868181.6821478937,780459.7535650575,423776.343942453,0.4300261203661555,0.22824992035464842,0.2994448266282867,0.042279132650909323,789877.0081103898
2023-06-01,2023-08-01,2,741875.0,789758.1454969478,873508.0750778624,784094.2089414402,415844.1610116488,0.4107178272545838,0.21482818130093706,0.3210995945642902,0.05335439688018901,785981.3476940044
2023-06-01,2023-09-01,3,693950.0,808582.3594484144,887778.3345401783,791299.2537971395,404651.9887045367,0.408035626810414,0.20843877463133337,0.32452514660635556,0.0590004519518971,795648.9946259961
2023-06-01,2023-10-01,4,711930.0,809235.8188495873,886775.9703764707,765562.3442434686,395868.2810028783,0.3633336194126524,0.22380674178345095,0.32552701157823266,0.08733262722566407,776272.4587564893
2023-06-01,2023-11-01,5,656565.0,775611.7507914278,877646.010949807,737239.0900968431,387642.7724941146,0.33456669462241007,0.21135980330701087,0.35372141216529585,0.10035208990528317,744670.9624290981
2023-06-01,2023-12-01,6,534525.0,737845.8108936633,866359.8012099596,722016.9805730814,380947.1931343581,0.311317014015593,0.1893040659561502,0.385067237020225,0.11431168300803168,715281.1861766726
2023-06-01,2024-01-01,7,600555.0,742548.2769470937,883621.52470172,719247.70466835,375129.39072940464,0.30126053330169184,0.191152860080146,0.3418413645247667,0.16574524209339553,700651.8000683753
2023-06-01,2024-02-01,8,588470.0,735358.2267341196,881924.4588244366,719882.6025328601,368406.2455327509,0.2913989547448901,0.18385296012771202,0.3338037370502626,0.1909443480771354,687071.6343410152
2023-06-01,2024-03-01,9,595090.0,775351.0408555793,907185.483905196,750427.7084143009,361610.2099130511,0.28049029278704907,0.16720053944742655,0.34044318812446034,0.21186597964106413,701251.2456310851
2023-06-01,2024-04-01,10,642810.0,795421.86877489,921168.744455731,761077.6547219363,357068.54429395247,0.2737099625127424,0.16615029237735215,0.330569785162106,0.22956995994779955,704328.8343296804
2023-06-01,2024-05-01,11,616605.0,784660.8629863614,920557.4034646986,747422.1467349023,353842.5594609013,0.2688710307824711,0.16411814852840662,0.32847939372139806,0.23853142696772425,691968.0959600972
2023-06-01,2024-06-01,12,585620.0,771509.394406456,928403.1820870516,742586.3651029335,349807.8895247118,0.26543468250576746,0.157670702748175,0.33728811145597987,0.23960650329007765,685449.131218629
2023-07-01,2023-08-01,1,741875.0,749474.009031092,873884.3080793435,749935.4328811927,553170.076405543,0.4220518223691532,0.19722912193059722,0.3345848942043705,0.046134161495878956,765109.4111915476
2023-07-01,2023-09-01,2,693950.0,759304.165503808,888231.789997319,750994.6961231418,542610.3079737813,0.4107750767986755,0.1943596623957506,0.34025296060907423,0.05461230019649976,769701.0235178234
2023-07-01,2023-10-01,3,711930.0,757909.2378865018,887020.0410900466,722329.0855126259,532357.139509948,0.37132600413620426,0.20412973690253342,0.3510693026053653,0.07347495635589707,755201.0623110287
2023-07-01,2023-11-01,4,656565.0,723821.5591837581,876890.7625680447,694131.3762666843,522769.1613155865,0.3517565706760667,0.21104452065655466,0.34838089005020423,0.0888180186171744,727925.4078719892
2023-07-01,2023-12-01,5,534525.0,687036.770739873,865385.7391844067,677360.9137219765,514212.3051784232,0.3274450209425252,0.19783839832070674,0.36917162114900637,0.10554495958776172,700508.2419443273
2023-07-01,2024-01-01,6,600555.0,690069.3049150239,883489.4099498896,672401.1395665312,506863.6601836,0.3081931657967223,0.18800164591861185,0.3591698337566095,0.14463535452805643,693588.7176270564
2023-07-01,2024-02-01,7,588470.0,682214.5205618179,881333.5986618833,673669.3191348127,498799.5022316117,0.30204149344094633,0.1829062156461767,0.3455674401251596,0.16948485078771747,684595.627203651
2023-07-01,2024-03-01,8,595090.0,718160.3810436856,907628.1380650392,701626.9005254338,491007.0668891181,0.2937713287521005,0.17791962707721715,0.3353027918129246,0.1930062523577578,702484.6816643097
2023-07-01,2024-04-01,9,642810.0,736032.2715452531,920179.9559076407,715242.8615774546,482726.6944088587,0.28138120897155167,0.16669985741996515,0.33850685327798324,0.2134120803304999,705633.8363469786
2023-07-01,2024-05-01,10,616605.0,725550.5170654079,918931.697495934,705950.6483169077,473834.0093926373,0.2787513321914198,0.1668917915348439,0.3392741667074311,0.21508270956630532,697034.6510665319
2023-07-01,2024-06-01,11,585620.0,713058.040176305,926961.0720041872,695067.5359534842,465616.6616690234,0.27259917611137496,0.16402139234046517,0.3351750119623057,0.22820441958585416,685645.5296506914
2023-07-01,2024-07-01,12,563955.0,709156.6245121243,931812.7518717196,696051.9354226155,457756.5722720593,0.2686017348728971,0.15714977810102618,0.33740004445681687,0.23684844256925985,680181.7520032356
2023-08-01,2023-09-01,1,693950.0,752931.2042841619,882464.2077938403,745069.8808346096,520541.3440438574,0.4385410442208455,0.1666247089081328,0.3480597413801981,0.04677450549082366,760908.4722873791
2023-08-01,2023-10-01,2,711930.0,750277.6121776471,880804.8570893382,717295.238017917,500950.6373798458,0.4060324090783919,0.17025762607963918,0.3612605696527916,0.06244939518917742,745015.3209771118
2023-08-01,2023-11-01,3,656565.0,716282.1860652904,870786.1067593518,690591.9082137572,485899.2713123268,0.3741648933362213,0.1825753537845695,0.36800680188044244,0.07525295099876665,717699.6028606911
2023-08-01,2023-12-01,4,534525.0,679494.1557137042,858805.6632636657,675017.3475140932,475579.7140109194,0.35487508654018635,0.18711706143250756,0.36474081216450494,0.09326703986280123,692395.0270659606
2023-08-01,2024-01-01,5,600555.0,682247.5193243669,875755.805076922,669388.8853781687,470108.2308945994,0.3288264903700945,0.18079015832946765,0.36471846921325063,0.12566488208718724,685883.6729880178
2023-08-01,2024-02-01,6,588470.0,674249.3559475811,873791.8569417008,669222.9084495388,466047.76368409215,0.3115235727369522,0.17314071635149586,0.36477289030415044,0.1505628206074014,675617.356744306
2023-08-01,2024-03-01,7,595090.0,709566.0580865173,900159.6814298751,696801.9285431132,463701.91026515886,0.30529945843207473,0.1708331138097208,0.3483570916088208,0.17551033614938363,694527.5859586734
2023-08-01,2024-04-01,8,642810.0,727079.56630901,913097.835197155,709556.0879044045,461160.4104069949,0.2947780048784158,0.1682439091691743,0.33682150539578604,0.20015658055662397,699248.2537177732
2023-08-01,2024-05-01,9,616605.0,716617.494495548,911673.785589709,701747.098584556,457295.2248723884,0.28433533734485805,0.16045067282224282,0.3431129780241549,0.21210101180874427,687809.6660427867
2023-08-01,2024-06-01,10,585620.0,704204.1181671255,918841.5813049636,689497.4985589546,452393.8782173761,0.28105568097330413,0.1601116337385081,0.3421162889024447,0.21671639638574308,678967.2911540272
2023-08-01,2024-07-01,11,563955.0,700260.7476894405,923081.7715952748,688532.9900837255,445612.9235156248,0.27447107499681656,0.15649608941698923,0.3361037039448002,0.23292913164139392,671874.727241168
2023-08-01,2024-08-01,12,567725.0,701765.6146179835,933838.6026798508,699304.5164491629,437590.77894337807,0.2701366757394887,0.15049359595059206,0.3349518529217558,0.2444178753881635,671297.7116559397
2023-09-01,2023-10-01,1,711930.0,700528.5122618255,883724.5884193938,675228.1379422126,561895.3141288162,0.4252453975134951,0.1504661522963578,0.37043236979092287,0.05385608039922433,711255.0026765809
2023-09-01,2023-11-01,2,656565.0,660188.9249685544,873327.6807096152,646354.8745759319,555898.2902567291,0.4052569650938443,0.15439536148289384,0.377226480802206,0.06312119262105585,681295.0408201431
2023-09-01,2023-12-01,3,534525.0,624634.665097855,860768.2627342858,630543.689179152,550424.2465959983,0.37409518465148495,0.16364113882407597,0.38385274978605183,0.0784109267383872,659725.1233834904
2023-09-01,2024-01-01,4,600555.0,624393.8141071184,877221.2929686892,626152.369383991,546108.1179684813,0.35154720837080383,0.17464084760418214,0.36178089823296816,0.1120310457920459,660413.602611821
2023-09-01,2024-02-01,5,588470.0,614923.4521257492,874893.5537294077,622773.2399446708,541031.3243680226,0.3321071445168981,0.1676522394547775,0.37015629820208257,0.13008431782624175,651801.463219519
2023-09-01,2024-03-01,6,595090.0,644728.2629445854,902350.80049368,643406.0115269674,536297.5100426761,0.31531473417193573,0.16296879567406133,0.36667017640080846,0.15504629375319462,669416.0811006034
2023-09-01,2024-04-01,7,642810.0,659336.4077798673,915065.9930061216,655134.7970393816,530247.6685195047,0.30667818255723334,0.1628640031379394,0.34949284759464516,0.18096496671018217,676156.5794455325
2023-09-01,2024-05-01,8,616605.0,648926.3171772329,913162.0787500028,645941.6711859962,522445.72749466624,0.298043105399725,0.16237550813559476,0.3418371469631293,0.197744239501551,665800.6623413811
2023-09-01,2024-06-01,9,585620.0,637170.0311018119,919685.3817978768,640299.1712979248,514369.571869972,0.2871490039592911,0.15494356581604732,0.3460024605067113,0.21190496971795028,656004.6295486834
2023-09-01,2024-07-01,10,563955.0,632530.626374916,923392.6992047292,640035.2656341379,506041.7138672584,0.28314193910531676,0.15360553130341037,0.34311478034331333,0.2201377492479595,651938.6177546766
2023-09-01,2024-08-01,11,567725.0,633220.75744728,933863.7997455,640567.8492905258,497441.4117986618,0.27611399607387466,0.15047804912535914,0.3349472488214339,0.23846070597933233,648543.7855143812
2023-09-01,2024-09-01,12,565870.0,630320.5418841719,943767.5591895852,636602.0031001798,487866.0802262169,0.27280428520302513,0.14558372787925072,0.33283365689495786,0.24877833002276628,642604.4257877355
2023-10-01,2023-11-01,1,656565.0,669049.5342938346,857287.5259882626,673480.8257712458,478915.5746448325,0.4405089760237293,0.13533171931538768,0.3689512303347826,0.05520807432610043,685662.1060166622
2023-10-01,2023-12-01,2,534525.0,634630.3837189005,844246.5442716368,655991.4313136702,471173.0516511536,0.4158487667027956,0.13362659738264368,0.3861982817329493,0.06432635418161144,660375.6636509212
2023-10-01,2024-01-01,3,600555.0,634690.5303487611,859552.9756620876,647777.7988643844,464045.163439318,0.3813502783478109,0.14518194136762494,0.38342224529151836,0.09004553499304595,656988.5932215692
2023-10-01,2024-02-01,4,588470.0,625727.8929414244,855840.7797846127,640663.918803684,456911.5531049143,0.3588585243751899,0.15759505418845549,0.3689514798217723,0.11459494161458234,648157.7160503232
2023-10-01,2024-03-01,5,595090.0,656606.460078908,884124.543589943,664776.3590336537,450170.7424864043,0.3381339857559611,0.1539037903836121,0.37524907494417137,0.13271314891625557,667291.3684067392
2023-10-01,2024-04-01,6,642810.0,671801.0432128626,896030.4145377488,682924.4097019273,445124.3912209487,0.31976839416232705,0.1511364619839312,0.3707458434243459,0.15834930042939577,673920.1296918963
2023-10-01,2024-05-01,7,616605.0,661426.4865421413,893735.695666898,674122.5875446891,441400.83889023226,0.3106720395764081,0.15441824289530903,0.3541364282678366,0.18077328926044633,662020.6582378596
2023-10-01,2024-06-01,8,585620.0,649576.4962362879,900020.3615149503,670992.3863386466,437097.5011385863,0.3017747980537982,0.15361611260210503,0.34602933411585673,0.19857975522824006,653265.2085994149
2023-10-01,2024-07-01,9,563955.0,645135.719070907,902999.784356374,665320.6222139116,432110.79274692776,0.2907458726064643,0.1459454202991888,0.34880934125397567,0.21449936584037124,644116.7696229534
2023-10-01,2024-08-01,10,567725.0,646012.0646326246,912727.4871900324,670078.9917590468,427486.4285572071,0.2866092583400633,0.14484194572538822,0.3443395178596521,0.2242092780748964,643935.3643685573
2023-10-01,2024-09-01,11,565870.0,643354.7308361814,921631.4899957672,674406.568572096,423795.51160120097,0.27937284730537176,0.1425092220959123,0.3365515346381388,0.24156639596057716,640424.1496642296
2023-10-01,2024-10-01,12,557710.0,647810.2679179525,918721.6588777888,681564.1894358915,419920.5553715199,0.2759722385988252,0.13814199026087237,0.33464393157555655,0.25124183956474583,639274.6210542945
2023-11-01,2023-12-01,1,534525.0,624742.1592242997,841959.5022834886,640989.9229011446,514030.1367618627,0.44928164455645897,0.11971648998806772,0.37553888137845876,0.05546298407701434,650707.9049570153
2023-11-01,2024-01-01,2,600555.0,622904.8646526721,856298.2413368258,630020.7973308645,503466.7511942791,0.4163039190667657,0.13406334695539462,0.36847768341692644,0.0811550505609132,647123.4181401661
2023-11-01,2024-02-01,3,588470.0,613657.8757516397,852144.8366596493,620678.3957763568,496814.0978875477,0.3885903710490325,0.13409459937103468,0.38541260306442554,0.09190242651550729,637605.2594184581
2023-11-01,2024-03-01,4,595090.0,643325.1369879572,879415.2349533653,642999.2721185295,494800.1387249177,0.3651419006234967,0.1472873992451411,0.37129617959350497,0.11627452053785717,660707.5681628095
2023-11-01,2024-04-01,5,642810.0,657803.5200219401,892091.9078291848,659451.3750766839,493635.9034434534,0.3430254216193705,0.1457425508389786,0.3761937258472506,0.1350383016944004,670400.3038896439
2023-11-01,2024-05-01,6,616605.0,647210.7855745638,890116.5625353504,650000.9530169225,491272.3391867451,0.3248672827073664,0.1454010962111471,0.3745476865925069,0.15518393448897963,659375.4609328632
2023-11-01,2024-06-01,7,585620.0,635277.2983125579,896054.9405342113,647258.672707141,488555.9859226137,0.3156593004678583,0.14859875657309501,0.3570656609280731,0.17867628203097347,652091.0504632473
2023-11-01,2024-07-01,8,563955.0,630656.4597765154,898452.1631684223,641666.7092705042,485734.7431279037,0.30695113902674015,0.1475098154210069,0.34660943705178654,0.19892960850046637,645145.9905771816
