target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
theta,2022-12-01,2023-01-01,1,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-02-01,2,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-03-01,3,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-04-01,4,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-05-01,5,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-06-01,6,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-07-01,7,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-08-01,8,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-09-01,9,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-10-01,10,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-11-01,11,equal_weights,0,0.25,0.25,0.25,0.25
theta,2022-12-01,2023-12-01,12,equal_weights,0,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-02-01,1,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-03-01,2,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-04-01,3,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-05-01,4,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-06-01,5,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-07-01,6,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-08-01,7,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-09-01,8,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-10-01,9,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-11-01,10,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2023-12-01,11,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-01-01,2024-01-01,12,equal_weights,1,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-03-01,1,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-04-01,2,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-05-01,3,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-06-01,4,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-07-01,5,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-08-01,6,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-09-01,7,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-10-01,8,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-11-01,9,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2023-12-01,10,equal_weights,2,0.25,0.25,0.25,0.25
theta,2023-02-01,2024-01-01,11,equal_weights,2,0.25,0.25,0.25,0.25
