target,horizon,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
theta,1,SARIMAX,25,-0.012851880342173277,0.02423549755435755,0.030478285484355456,4.876742659064184,4.762006650913605,0.6861222755099387
theta,1,TBATS_PROPHET,25,-0.15795328766570205,0.15795328766570205,0.17158092135728337,36.37753055302525,29.38914819462117,4.471757549618844
theta,1,VAR,25,-0.006602079486933065,0.026414765369265413,0.034733036767872136,5.199287248594065,5.110052676805807,0.7478187267074635
theta,1,BiLSTM_Attention,25,0.087826195686138,0.12655574247881823,0.16240502802909373,22.31807719715988,24.728538809557588,3.582873172447166
theta,2,SARIMAX,25,-0.025891459569671572,0.03423456221893359,0.04289699079625079,6.997508734528142,6.690963548719655,1.0210064529510163
theta,2,TBATS_PROPHET,25,-0.17719571960034738,0.17719571960034738,0.18954438631662118,41.539683816961016,32.95951559650504,5.284658585387022
theta,2,VAR,25,-0.01464491247339416,0.03550676891659494,0.04675017322340231,7.229588230461347,7.0163666535403335,1.0589485548389548
theta,2,BiLSTM_Attention,25,0.07751711582575999,0.12340007101441783,0.159007446062159,22.94268913267021,24.78373940826679,3.6802652242082314
theta,3,SARIMAX,25,-0.038062105698292506,0.04277462061621518,0.055217085570669455,9.050865499449614,8.50280348964646,1.3282602879186338
theta,3,TBATS_PROPHET,25,-0.19455623628524799,0.19455623628524799,0.20608565062894382,46.30367565312134,36.15943217957718,6.041463809655528
theta,3,VAR,25,-0.021043009832890657,0.04596015523691554,0.05565165505040789,9.48800088565938,9.123288695038838,1.4271792045919063
theta,3,BiLSTM_Attention,25,0.06905954716674616,0.12231250046770967,0.15969177247280084,23.41571322959552,25.09603333425356,3.7981128703617535
theta,4,SARIMAX,25,-0.050064005751784796,0.05967035244673238,0.07216327685849912,12.778532108714574,11.871264180893617,1.907586097450639
theta,4,TBATS_PROPHET,25,-0.21363060757707444,0.21363060757707444,0.2227589135296355,51.21712635533817,39.48436844807034,6.829501759148341
theta,4,VAR,25,-0.029454607557943345,0.0588641793946818,0.06872354927874011,12.571360716196804,11.952365248802238,1.8818137592094013
theta,4,BiLSTM_Attention,25,0.0591587699903291,0.11730657197852269,0.15449492679529134,23.426282854096225,24.670258526029375,3.750143524719144
theta,5,SARIMAX,25,-0.06420242274990201,0.07082892978098196,0.08587081560986484,15.392308575767915,14.069639224767599,2.3643476235598944
theta,5,TBATS_PROPHET,25,-0.23421015673916146,0.23421015673916146,0.24034199409179133,56.67112822152136,43.074825501189736,7.818192781002791
theta,5,VAR,25,-0.041635001495702734,0.06465372145385478,0.07512260333586994,14.59270814601949,13.609379208604322,2.158212373763268
theta,5,BiLSTM_Attention,25,0.046491859627874915,0.10877765303688375,0.1403184927602056,22.845263316636093,23.759766874360334,3.63111776853694
theta,6,SARIMAX,25,-0.07704831846470601,0.08168350419830325,0.10010387483031415,17.991704517323186,16.089469339875013,2.917222898441764
theta,6,TBATS_PROPHET,25,-0.2535168952276351,0.2535168952276351,0.25806898905695735,62.171635422195024,46.526238302784016,9.054034828188493
theta,6,VAR,25,-0.05375238037838843,0.0693057803539208,0.08331121769058336,16.37599293509566,14.897281158240656,2.4751681680061033
theta,6,BiLSTM_Attention,25,0.035187144270018574,0.10240543280340858,0.1293246220683222,22.483314367935836,23.154934956742515,3.657280333783089
theta,7,SARIMAX,25,-0.08864671472457873,0.09255374825778175,0.11337564582846833,20.864112797739818,18.280885548641123,3.4565145781586937
theta,7,TBATS_PROPHET,25,-0.27117163207419054,0.27117163207419054,0.27503325674883056,67.70399252622597,49.79446971616699,10.127182497643666
theta,7,VAR,25,-0.06503092395974537,0.07426076342945509,0.09384131280887696,18.268261180421728,16.15431504697408,2.773344313016778
theta,7,BiLSTM_Attention,25,0.025448511417634503,0.09493633572570005,0.11981332334267505,21.75565255944923,22.02976887291025,3.545494748833796
theta,8,SARIMAX,25,-0.09885849838024616,0.10137583923546244,0.12486045060821455,23.3514428607511,20.10178742175549,3.7590423469451797
theta,8,TBATS_PROPHET,25,-0.28757695241388587,0.28757695241388587,0.29099885020250993,73.2084291128516,52.91099936006859,10.66342779780495
theta,8,VAR,25,-0.07639795089333398,0.08355398185899814,0.102918142071277,20.808452084113902,18.15544671626382,3.0982032645308397
theta,8,BiLSTM_Attention,25,0.01696736020358049,0.0897521100474398,0.11184371974500554,21.293959993501794,21.315654719551695,3.3280314613463644
theta,9,SARIMAX,25,-0.10911625661420088,0.1116120300484385,0.13640833134667868,26.2224955260593,22.281924756814337,4.42801447435223
theta,9,TBATS_PROPHET,25,-0.303853474061045,0.303853474061045,0.3069288727064053,78.72051640696132,55.94435713863248,12.054861654613733
theta,9,VAR,25,-0.08843014492228424,0.09178302821739782,0.10932111617008186,23.27417498303243,20.181346068178037,3.6413330827343247
theta,9,BiLSTM_Attention,25,0.008667153714790604,0.08638867270886669,0.10515762897339882,21.60800408194381,21.159587097737557,3.4273213470709636
theta,10,SARIMAX,25,-0.11707546055194562,0.11940863765141639,0.14622361599539524,28.82757691935226,24.12994267986049,4.741229249106371
theta,10,TBATS_PROPHET,25,-0.3181206873113685,0.3181206873113685,0.321421197752445,84.0731864075299,58.69731654507767,12.631273056054262
theta,10,VAR,25,-0.09872113185629094,0.1004097939855781,0.11834796690285673,25.85740695244525,22.15744024979634,3.9868627722805354
theta,10,BiLSTM_Attention,25,0.0018513741834705999,0.08256809931638283,0.10507264260186877,21.410190008323646,20.63832836222316,3.2784419554702997
theta,11,SARIMAX,25,-0.12436023190386847,0.126881791299263,0.15591355015594374,31.302837526624728,25.869328286953102,5.499881541362968
theta,11,TBATS_PROPHET,25,-0.33188601470917123,0.33188601470917123,0.3355817986338211,89.337594541016,61.32576095014651,14.386097070699947
theta,11,VAR,25,-0.10819443657247614,0.110598788771598,0.12684932296803894,28.78642789427844,24.53400482151628,4.794070375530291
theta,11,BiLSTM_Attention,25,-0.004667397378390237,0.080570915391298,0.10350140187413814,21.462046226185528,20.595797393514278,3.492467168012715
theta,12,SARIMAX,25,-0.13143131407202943,0.1336366336254044,0.16373199924103685,33.61337176082841,27.47535802176655,6.4855109545950835
theta,12,TBATS_PROPHET,25,-0.345372135055574,0.345372135055574,0.3493556643149232,95.11014292095417,64.08034517094009,16.761233088177768
theta,12,VAR,25,-0.11860730001738334,0.11860730001738334,0.13335723760839865,31.092613492590367,26.301743228936463,5.756123322545701
theta,12,BiLSTM_Attention,25,-0.010725969794252006,0.08400346920555381,0.10595493288472622,23.466778052161587,22.04895602104715,4.076767013480367
