target,horizon,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
unemployment,1,SARIMAX,25,15012.89104273961,27563.112468167477,35182.793732399696,2.0863773330764217,2.1067798241394002,0.9823503107157997
unemployment,1,TBATS_PROPHET,25,15242.091445366666,27740.76599559173,35126.06649503764,2.0971017112290213,2.1173566424054897,0.988681888764778
unemployment,1,VAR,25,6172.846104970705,27098.132360965963,32894.20620429905,2.0726521015521833,2.0773127384949146,0.96577840312323
unemployment,1,BiLSTM_Attention,25,67313.90501608334,68599.12344663651,83953.08529834865,5.215681641004026,5.417225316271202,2.44487520451333
unemployment,2,SARIMAX,25,30600.005339187242,40868.3019607924,52318.168474232756,3.1010898903743405,3.1654790738158334,1.458930904445958
unemployment,2,TBATS_PROPHET,25,31246.091445366666,40991.74733113872,52383.52165628779,3.110071580669386,3.1754489322968413,1.463337700353011
unemployment,2,VAR,25,11263.877462737039,38274.988747883326,45049.60872334107,2.9561707201553915,2.9687456404656984,1.3663539044313548
unemployment,2,BiLSTM_Attention,25,74281.03841091547,75967.8629497054,91536.27952871934,5.684469291248204,5.9220190935496,2.711927280667752
unemployment,3,SARIMAX,25,47509.14926666457,55651.257706233,64170.85043476469,4.174946641802451,4.278059832957517,1.9301014233375609
unemployment,3,TBATS_PROPHET,25,48218.09144536666,56146.84875521951,64435.97674353819,4.211996114007194,4.3168922945001915,1.947289552204145
unemployment,3,VAR,25,16621.902773646507,41659.542207156584,49100.66015993827,3.1849217106444305,3.20042236824528,1.4448396141210376
unemployment,3,BiLSTM_Attention,25,82901.49009030803,85702.93711408388,100019.04654236273,6.325480479546535,6.601053810506771,2.9723562004884583
unemployment,4,SARIMAX,25,66471.6755275815,70982.03568545646,77859.35070310239,5.306001012166588,5.474110492164579,2.354947271842625
unemployment,4,TBATS_PROPHET,25,67190.09144536666,71503.10456371613,78392.25122101021,5.344313615638842,5.515217304545776,2.3722345998468164
unemployment,4,VAR,25,26254.031321338854,48728.95267034854,55788.299001580584,3.6765668873026116,3.721757422511259,1.6166641748525918
unemployment,4,BiLSTM_Attention,25,94513.7758481408,96678.38149450318,112162.7688948337,7.014400009863418,7.35090097965326,3.2074663476196794
unemployment,5,SARIMAX,25,86082.24746617679,87961.25168971739,93813.37308124435,6.544950107379079,6.797648781965372,2.972082275873881
unemployment,5,TBATS_PROPHET,25,86802.09144536666,88483.10456371613,94405.04096182971,6.5828821694580935,6.838801701473571,2.9897149226090205
unemployment,5,VAR,25,40209.78187273819,53666.81161197344,62208.65189676282,3.9767738768720697,4.066142609625599,1.8133232136947242
unemployment,5,BiLSTM_Attention,25,107624.45503755774,108745.92116457183,128842.55566194125,7.738790132249834,8.167214269227111,3.674365912923728
unemployment,6,SARIMAX,25,103566.03216132267,104045.13486964593,113405.61294843978,7.664446144487607,8.031759273384955,3.6137239317966747
unemployment,6,TBATS_PROPHET,25,104286.09144536666,104567.10456371613,113894.07523615783,7.702559592669707,8.072922653168927,3.631853125223136
unemployment,6,VAR,25,52627.943036181925,64814.13196905104,75935.32942577536,4.710007860335269,4.854653253101214,2.2511420654952605
unemployment,6,BiLSTM_Attention,25,118857.07191804105,121104.50452954003,143943.44777093313,8.506943419163967,9.02892129006662,4.206234600157686
unemployment,7,SARIMAX,25,119833.99969404358,122121.11746174465,131419.76925871658,8.86859465611728,9.352388429908036,4.288086055715979
unemployment,7,TBATS_PROPHET,25,120554.09144536666,122643.10456371613,131928.54901826184,8.905940475036338,9.393521098006662,4.306414790825438
unemployment,7,VAR,25,64013.901116564244,78492.67480957732,89331.27958877203,5.63583802460337,5.834153526897604,2.7561436655886697
unemployment,7,BiLSTM_Attention,25,128728.45752599348,129225.47326150465,154742.20183011025,8.939103433853113,9.535568873359123,4.537544050147932
unemployment,8,SARIMAX,25,136549.99479712604,137917.1148675665,146304.71030119108,9.916205944228501,10.50965978699466,4.6870727227720135
unemployment,8,TBATS_PROPHET,25,137270.09144536668,138439.10456371613,146907.43232077322,9.952562251360106,10.550737084112464,4.704812389591033
unemployment,8,VAR,25,77618.30432289653,87039.59875079336,97992.3370840096,6.18018516080622,6.427212487164069,2.9580152506641753
unemployment,8,BiLSTM_Attention,25,138765.84821282618,141300.01374253616,165895.37197153652,9.675073059888016,10.349512287687256,4.802039549448978
unemployment,9,SARIMAX,25,153805.99405839964,153805.99405839964,162932.11867991858,10.949808537584383,11.677794978090851,5.307467803596824
unemployment,9,TBATS_PROPHET,25,154526.09144536668,154526.09144536668,163525.48784969392,10.998403713401991,11.731421275884758,5.332316599121208
unemployment,9,VAR,25,94004.27760888696,97099.2748126929,112859.94814787515,6.805582567463906,7.135756241216922,3.3506579374617242
unemployment,9,BiLSTM_Attention,25,148811.31347703323,154234.14685575888,181882.50114477478,10.442792331551079,11.232271816652329,5.322242307028343
