target,horizon,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
vacancies,1,SARIMAX,25,-8168.010985714544,25759.120239275842,33058.50473106988,4.122968113491282,4.04942244108119,0.7270041520319159
vacancies,1,TBATS_PROPHET,25,-201632.2386156734,201632.2386156734,226052.2993178822,34.786632231951394,28.19746635496201,5.690701906565018
vacancies,1,VAR,25,-6265.470005674865,29053.041575169136,38922.694301553434,4.653792812314851,4.5603772146218615,0.8199690695219809
vacancies,1,BiLSTM_Attention,25,122234.65633392982,140970.6962730984,177861.0748005753,19.968594729075154,23.093530980957066,3.978640596160898
vacancies,2,SARIMAX,25,-16294.088413406327,31650.39591778163,39291.84433192359,5.146587087970091,5.01380197267746,0.93782424290623
vacancies,2,TBATS_PROPHET,25,-217525.49266733078,217525.49266733078,239911.6136878521,38.11374175262175,30.55725025753192,6.44543850268027
vacancies,2,VAR,25,-14554.39094763219,35418.423917138534,44570.34593387616,5.783930505011008,5.619034551308358,1.0494736521245538
vacancies,2,BiLSTM_Attention,25,116987.18091429169,142197.11406949436,177813.47884842436,20.713302141928853,23.750880193381786,4.213403876276732
vacancies,3,SARIMAX,25,-23179.235372606254,36762.38560667416,46900.88755269484,6.099416740400726,5.895932719088625,1.0930681135567626
vacancies,3,TBATS_PROPHET,25,-231163.35554335595,231163.35554335595,252163.1171432457,40.88860391538664,32.50700506034639,6.873256150203541
vacancies,3,VAR,25,-20781.28799666545,42460.07152801613,50031.38030061535,7.07779895464434,6.847366709578065,1.2624792847553346
vacancies,3,BiLSTM_Attention,25,114305.04777779036,143975.87972459913,178608.9194688609,21.335179862733565,24.445991111463098,4.280882229244438
vacancies,4,SARIMAX,25,-28794.384988635808,48727.53772483062,61684.96254955241,8.041030303124185,7.753173017211341,1.4545805026162613
vacancies,4,TBATS_PROPHET,25,-245544.17700096354,245544.17700096354,263638.21022088325,43.55560995687028,34.443497449851314,7.329813675657039
vacancies,4,VAR,25,-27210.10942786681,53307.60566003475,64309.121057941455,8.933426219159209,8.586648250243657,1.591301499208112
vacancies,4,BiLSTM_Attention,25,110964.1808237427,143002.51215805724,175041.64112346785,21.644838170180563,24.727007150832303,4.268811348213429
vacancies,5,SARIMAX,25,-36857.20198190109,55340.45655087462,68714.39896020704,9.212156759323024,8.794447207920346,1.6753969816726468
vacancies,5,TBATS_PROPHET,25,-261665.52241460243,261665.52241460243,275815.38990295166,46.56428405220173,36.62501410237028,7.921756591548985
vacancies,5,VAR,25,-36289.539196104466,58590.725030492846,69645.31932533812,10.085973812320951,9.600667696932872,1.7737967842722526
vacancies,5,BiLSTM_Attention,25,104614.43093256991,133996.38714490578,167601.95086266834,20.7873422790849,23.670618210692755,4.056655050744546
vacancies,6,SARIMAX,25,-44718.6092687064,61308.55332960871,75931.26202066423,10.405624600064366,9.79279048707748,1.8856071814164546
vacancies,6,TBATS_PROPHET,25,-277798.1806108419,277798.1806108419,288918.02605282824,49.75128810020716,38.84440327319589,8.543966802283899
vacancies,6,VAR,25,-45991.86119234116,62613.421334319086,74628.2869319001,11.045153391798676,10.354582567922115,1.9257397297617793
vacancies,6,BiLSTM_Attention,25,98265.04519456968,123805.32801202689,153746.57088260312,19.605471176160812,22.340172082481608,3.807759324250028
vacancies,7,SARIMAX,25,-52443.384938386094,65547.50614582635,84094.95782605154,11.3373442553143,10.486225566948448,2.0698667765319763
vacancies,7,TBATS_PROPHET,25,-293280.68034773605,293280.68034773605,301935.9397349512,52.97504846102037,41.01747617505435,9.26125145173241
vacancies,7,VAR,25,-56118.8725032725,66914.29418213428,83848.07032124928,12.065665420196426,11.070202808824881,2.113027368189288
vacancies,7,BiLSTM_Attention,25,92244.42485445998,117858.7644786105,145480.89323347688,19.16059412325772,21.699114870878176,3.7217577793829792
vacancies,8,SARIMAX,25,-58949.906652702804,71976.01339446678,91916.04650554471,12.567723195531725,11.518515125167808,2.2634263046779997
vacancies,8,TBATS_PROPHET,25,-307632.03212036507,307632.03212036507,314644.32130338775,56.08393873783304,43.038881607433005,9.67409003117017
vacancies,8,VAR,25,-65795.55629412286,75068.5656241322,92031.55710026024,13.638888051915362,12.413020633749621,2.360677649050922
vacancies,8,BiLSTM_Attention,25,87418.1109215393,112691.35431170455,137919.18271692932,18.606136854780964,21.10519181167949,3.5437997136766852
vacancies,9,SARIMAX,25,-65131.67555876662,79243.13978723524,97055.49802039801,13.823690435054392,12.693608132298143,2.6096868034656757
vacancies,9,TBATS_PROPHET,25,-321428.4459227797,321428.4459227797,326653.3588127528,59.04327785870414,44.95175364727793,10.585491385568242
vacancies,9,VAR,25,-75380.97560902528,80375.51593734314,94000.06651413691,14.638673474825298,13.33323583733417,2.646978953971452
vacancies,9,BiLSTM_Attention,25,83073.49932381745,104466.1652192481,129373.9596410614,17.545454526318085,19.92837855546334,3.440347940696463
vacancies,10,SARIMAX,25,-69892.45051427251,80621.69824396925,101459.58441972986,14.229474006392298,12.911486337796319,2.6066735702857518
vacancies,10,TBATS_PROPHET,25,-333990.36826759344,333990.36826759344,338409.1488996977,62.010314087366666,46.76541961998058,10.798629707087132
vacancies,10,VAR,25,-83261.21808002247,85398.22974088893,99286.08301253116,15.614570207876218,14.144728669938827,2.7611091463384967
vacancies,10,BiLSTM_Attention,25,79263.8880848208,104663.97870155195,131517.1492323187,17.859279766697274,20.279515252710183,3.3840124058996044
vacancies,11,SARIMAX,25,-75825.30291757398,83321.81733904271,106964.54126622617,14.789363014138296,13.312257293218147,2.8336135920832417
vacancies,11,TBATS_PROPHET,25,-347881.13853755756,347881.13853755756,350999.0791689808,65.37225959244444,48.80359421453784,11.830763587144075
vacancies,11,VAR,25,-91738.72486450864,93256.05255940514,105281.11055308218,17.104265312392126,15.458604888352099,3.171457686779682
