target,scope,horizon,model,directional_accuracy,n_obs
theta,overall_h1,1,SARIMAX,0.5833333333333334,25
theta,by_horizon,1,SARIMAX,0.5833333333333334,25
theta,by_horizon,2,SARIMAX,0.625,25
theta,by_horizon,3,SARIMAX,0.6666666666666666,25
theta,by_horizon,4,SARIMAX,0.5416666666666666,25
theta,by_horizon,5,SARIMAX,0.7083333333333334,25
theta,by_horizon,6,SARIMAX,0.5,25
theta,by_horizon,7,SARIMAX,0.625,25
theta,by_horizon,8,SARIMAX,0.75,25
theta,by_horizon,9,SARIMAX,0.625,25
theta,by_horizon,10,SARIMAX,0.625,25
theta,by_horizon,11,SARIMAX,0.625,25
theta,by_horizon,12,SARIMAX,0.7916666666666666,25
theta,overall_h1,1,TBATS_PROPHET,0.7083333333333334,25
theta,by_horizon,1,TBATS_PROPHET,0.7083333333333334,25
theta,by_horizon,2,TBATS_PROPHET,0.625,25
theta,by_horizon,3,TBATS_PROPHET,0.6666666666666666,25
theta,by_horizon,4,TBATS_PROPHET,0.6666666666666666,25
theta,by_horizon,5,TBATS_PROPHET,0.7083333333333334,25
theta,by_horizon,6,TBATS_PROPHET,0.5833333333333334,25
theta,by_horizon,7,TBATS_PROPHET,0.5416666666666666,25
theta,by_horizon,8,TBATS_PROPHET,0.6666666666666666,25
theta,by_horizon,9,TBATS_PROPHET,0.6666666666666666,25
theta,by_horizon,10,TBATS_PROPHET,0.5,25
theta,by_horizon,11,TBATS_PROPHET,0.5833333333333334,25
theta,by_horizon,12,TBATS_PROPHET,0.6666666666666666,25
theta,overall_h1,1,VAR,0.5,25
theta,by_horizon,1,VAR,0.5,25
theta,by_horizon,2,VAR,0.6666666666666666,25
theta,by_horizon,3,VAR,0.6666666666666666,25
theta,by_horizon,4,VAR,0.625,25
theta,by_horizon,5,VAR,0.625,25
theta,by_horizon,6,VAR,0.5416666666666666,25
theta,by_horizon,7,VAR,0.5833333333333334,25
theta,by_horizon,8,VAR,0.6666666666666666,25
theta,by_horizon,9,VAR,0.5,25
theta,by_horizon,10,VAR,0.5416666666666666,25
theta,by_horizon,11,VAR,0.5416666666666666,25
theta,by_horizon,12,VAR,0.75,25
theta,overall_h1,1,BiLSTM_Attention,0.5416666666666666,25
theta,by_horizon,1,BiLSTM_Attention,0.5416666666666666,25
theta,by_horizon,2,BiLSTM_Attention,0.5416666666666666,25
theta,by_horizon,3,BiLSTM_Attention,0.375,25
theta,by_horizon,4,BiLSTM_Attention,0.375,25
theta,by_horizon,5,BiLSTM_Attention,0.5416666666666666,25
theta,by_horizon,6,BiLSTM_Attention,0.5,25
theta,by_horizon,7,BiLSTM_Attention,0.5833333333333334,25
theta,by_horizon,8,BiLSTM_Attention,0.5833333333333334,25
theta,by_horizon,9,BiLSTM_Attention,0.5833333333333334,25
theta,by_horizon,10,BiLSTM_Attention,0.5,25
theta,by_horizon,11,BiLSTM_Attention,0.4583333333333333,25
theta,by_horizon,12,BiLSTM_Attention,0.4583333333333333,25
