target,model,RMSE,MAE,MAPE,sMAPE,MASE,RMSE_rank,MAE_rank,MASE_rank
theta,ensemble,0.0903311158043671,0.0801112724125585,19.845213249192906,17.624203490038333,24.031848365287765,1.0,2.0,2.0
theta,chronos_uni,0.10422884888956643,0.0997482837677497,30.10471025325863,36.04840933704605,51.55045684299164,2.5,3.5,4.5
theta,chronos_mv,0.10422884888956643,0.0997482837677497,30.10471025325863,36.04840933704605,51.55045684299164,2.5,3.5,4.5
theta,bilstm,0.11188546682885601,0.07390647779473626,14.039005612126426,15.815395873590916,22.170528741934955,4.0,1.0,1.0
theta,var,0.16342181825620514,0.1428729554932571,39.08678460711933,30.638220775393147,42.85915200837848,5.0,5.0,3.0
theta,sarimax,0.28713752558695277,0.2677607316708595,70.95076776847463,49.432116779319436,80.32309446484167,6.0,6.0,6.0
theta,tbats_prophet,0.4661844733346165,0.4400419031631577,115.7957645296531,68.64094500527128,132.00414838913326,7.0,7.0,7.0
theta,rf_hybrid,,,,,,,,
unemployment,chronos_uni,75469.76534079293,57281.017628205125,3.667342196403447,3.7827921284379333,12.63793225607964,1.5,1.5,1.5
unemployment,chronos_mv,75469.76534079293,57281.017628205125,3.667342196403447,3.7827921284379333,12.63793225607964,1.5,1.5,1.5
unemployment,ensemble,114033.69795732744,96540.54556253325,6.828198233673133,7.159309431769742,28.23319945539656,3.0,3.0,3.0
unemployment,var,207371.69563661708,172129.65274501956,11.7001168903729,12.734706964498443,50.339168789867806,4.0,4.0,4.0
unemployment,tbats_prophet,364099.56758164166,334437.2037118221,23.2751321855021,26.846255013956988,97.80587236877426,5.0,5.0,5.0
unemployment,sarimax,364538.2012404489,334913.91800498386,23.309940506142453,26.890706997395508,97.94528705349195,6.0,6.0,6.0
unemployment,bilstm,1392181.6088087715,1384719.961198798,99.9999725670273,199.99989026814046,404.9601607965968,7.0,7.0,7.0
unemployment,rf_hybrid,,,,,,,,
vacancies,ensemble,75778.02840256112,65604.35397766555,11.710486140368948,10.882980539574143,17.814237111428767,1.0,1.0,1.0
vacancies,chronos_uni,79872.63702082087,77358.71314102564,15.105082447186021,16.395001377486658,23.754270664615465,2.5,2.5,2.5
vacancies,chronos_mv,79872.63702082087,77358.71314102564,15.105082447186021,16.395001377486658,23.754270664615465,2.5,2.5,2.5
vacancies,var,130805.0311965199,112945.91631654098,21.20203662191176,18.446998664770444,30.66938719822523,4.0,4.0,4.0
vacancies,sarimax,168988.91692704623,154080.85151660297,28.529241551167488,24.161434077876677,41.83918683479558,5.0,5.0,5.0
vacancies,tbats_prophet,355928.5423126554,332125.2628510608,60.922555727415286,44.68781600309192,90.18544996477891,6.0,6.0,6.0
vacancies,bilstm,595971.9930105538,588603.561198798,99.99993598770143,199.99974395097107,159.82968763622713,7.0,7.0,7.0
vacancies,rf_hybrid,,,,,,,,
