target,model,rows,start,end
unemployment,sarimax,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,tbats_prophet,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,var,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,bilstm,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,ensemble,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,rf_hybrid,12,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000012
unemployment,chronos_uni,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
unemployment,chronos_mv,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,sarimax,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,tbats_prophet,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,var,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,bilstm,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,ensemble,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,rf_hybrid,12,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000012
vacancies,chronos_uni,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
vacancies,chronos_mv,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,sarimax,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,tbats_prophet,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,var,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,bilstm,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,ensemble,36,2023-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,rf_hybrid,12,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000012
theta,chronos_uni,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
theta,chronos_mv,12,2025-01-01 00:00:00.000000000,2025-12-01 00:00:00.000000000
