month,forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,1558207.8376780683,1505767.4002281537,1610648.275127983,1477908.4178328866,1638507.25752325
2026-02-01,1553362.0970911307,1500921.659641216,1605802.5345410453,1473062.677245949,1633661.5169363124
2026-03-01,1556970.238995934,1504529.8015460193,1609410.6764458485,1476670.8191507522,1637269.6588411157
2026-04-01,1554283.6139544924,1501843.1765045777,1606724.051404407,1473984.1941093106,1634583.0337996741
2026-05-01,1556284.0768807682,1503843.6394308535,1608724.5143306828,1475984.6570355864,1636583.49672595
2026-06-01,1554794.5307559182,1502354.0933060036,1607234.9682058329,1474495.1109107365,1635093.9506011
2026-07-01,1555903.6478652195,1503463.2104153049,1608344.0853151341,1475604.2280200378,1636203.0677104013
2026-08-01,1555077.7984728292,1502637.3610229145,1607518.2359227438,1474778.3786276474,1635377.218318011
2026-09-01,1555692.726520726,1503252.2890708114,1608133.1639706406,1475393.3066755442,1635992.1463659077
2026-10-01,1555234.850656707,1502794.4132067924,1607675.2881066217,1474935.4308115253,1635534.2705018888
2026-11-01,1555575.7853523483,1503135.3479024337,1608016.222802263,1475276.3655071666,1635875.20519753
2026-12-01,1555321.9251342714,1502881.4876843567,1607762.362584186,1475022.5052890896,1635621.3449794531
