month,forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,420509.875265782,386089.89413647505,454929.85639508895,367804.2791615308,473215.4713700332
2026-02-01,420666.6394657883,386246.65833648137,455086.6205950953,367961.0433615371,473372.23557003954
2026-03-01,420654.1338909636,386234.1527616567,455074.1150202706,367948.5377867124,473359.72999521485
2026-04-01,420655.1315001224,386235.1503708155,455075.1126294294,367949.5353958712,473360.72760437365
2026-05-01,420655.05191769236,386235.0707883854,455075.0330469993,367949.45581344113,473360.6480219436
2026-06-01,420655.0582662339,386235.07713692694,455075.03939554084,367949.46216198266,473360.6543704851
2026-07-01,420655.0577597907,386235.07663048373,455075.03888909763,367949.46165553946,473360.6538640419
2026-08-01,420655.0578001913,386235.07667088433,455075.03892949823,367949.46169594006,473360.6539044425
2026-09-01,420655.0577969684,386235.07666766143,455075.03892627533,367949.46169271716,473360.6539012196
2026-10-01,420655.0577972255,386235.07666791853,455075.03892653243,367949.46169297426,473360.6539014767
2026-11-01,420655.057797205,386235.07666789804,455075.03892651194,367949.4616929538,473360.6539014562
2026-12-01,420655.0577972066,386235.0766678997,455075.0389265136,367949.4616929554,473360.65390145784
