target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
theta,2022-12-01,2023-04-01,4,0.7772277227722773,0.7504852227957982,0.8176555058310405,0.6729135000655283,0.3975443697351347,2022-12-01,0.64541239531081,0.1318153274614673,0.7323665678280208,0.6820395877040956,0.7273968810556427,0.08275455597688786,0.0482603323496511,4,0.1207625245674018,0.7661749198782117
theta,2022-12-01,2023-05-01,5,0.731134707099793,0.7371716623225801,0.8204252195013519,0.632816649817699,0.3902770830567841,2022-12-01,0.6261942425403374,0.1049404645594556,0.7772277227722773,0.7323665678280208,0.6820395877040956,0.1318153274614673,0.08275455597688786,5,0.1023888778069735,0.7285831203473109
theta,2022-12-01,2023-06-01,6,0.6758671522719389,0.7233651704958355,0.8200906252426835,0.6135187981441056,0.3836425446532671,2022-12-01,0.6138374794518291,0.06202967282010985,0.731134707099793,0.7772277227722773,0.7323665678280208,0.1049404645594556,0.1318153274614673,6,0.05888380049337238,0.6727212799452015
theta,2022-12-01,2023-07-01,7,0.6331939941989422,0.7295747020152803,0.8237997980039623,0.5922524598419204,0.378346055319802,2022-12-01,0.6074033148700265,0.025790679328915656,0.6758671522719389,0.731134707099793,0.7772277227722773,0.06202967282010985,0.1049404645594556,7,0.020648916672832356,0.6280522315428588
theta,2022-12-01,2023-08-01,8,0.6369666008414184,0.7305404083546808,0.8291443950998215,0.6001543858478626,0.3739186133587242,2022-12-01,0.6099820078396132,0.026984593001805224,0.6331939941989422,0.6758671522719389,0.731134707099793,0.025790679328915656,0.06202967282010985,8,0.018166867703975565,0.6281488755435888
theta,2022-12-01,2023-09-01,9,0.5873963094633485,0.7479644474725262,0.8430541457526304,0.6036165556564279,0.3700401559289669,2022-12-01,0.6169411751287888,-0.029544865665440234,0.6369666008414184,0.6331939941989422,0.6758671522719389,0.026984593001805224,0.025790679328915656,9,-0.027480154956077554,0.5894610201727112
theta,2022-12-01,2023-10-01,10,0.5760417509507242,0.74922871488162,0.8422199903513674,0.5865275470003596,0.3678883486815684,2022-12-01,0.6107509066553093,-0.034709155704585104,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.029544865665440234,0.026984593001805224,10,-0.03800735154166561,0.5727435551136437
theta,2022-12-01,2023-11-01,11,0.5238689858772839,0.7182527587041111,0.8333895569596594,0.5578725377449288,0.3657994581634116,2022-12-01,0.5902704295661148,-0.06640144368883083,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.034709155704585104,-0.029544865665440234,11,-0.06183234486765682,0.528438084698458
theta,2022-12-01,2023-12-01,12,0.423118024222275,0.6834235609305611,0.8224251988918792,0.5316993153665475,0.3638583685680525,2022-12-01,0.569317170556196,-0.146199146333921,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.06640144368883083,-0.034709155704585104,12,-0.14574929742840065,0.42356787312779537
theta,2023-01-01,2023-02-01,1,0.6820395877040956,0.7057341711673912,0.7525393274626433,0.7099077095180037,0.4404300916783962,2023-01-01,0.6480010992783527,0.03403848842574286,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.146199146333921,-0.06640144368883083,2,-0.04642573536599053,0.6015753639123622
theta,2023-01-01,2023-03-01,2,0.7323665678280208,0.7570854061120047,0.7639648734710734,0.7253216268999308,0.4354988936513371,2023-01-01,0.6683825882299074,0.06398397959811342,0.6820395877040956,0.423118024222275,0.5238689858772839,0.03403848842574286,-0.146199146333921,3,0.037750417996552724,0.7061330062264601
theta,2023-01-01,2023-04-01,3,0.7772277227722773,0.7653977040231074,0.790754078393018,0.7000798626268403,0.4307102114591898,2023-01-01,0.6640515768525845,0.11317614591969272,0.7323665678280208,0.6820395877040956,0.423118024222275,0.06398397959811342,0.03403848842574286,4,0.10461105775187249,0.768662634604457
theta,2023-01-01,2023-05-01,4,0.731134707099793,0.7543681028274475,0.7934754960231024,0.6570625582239197,0.4261443334500592,2023-01-01,0.645134862376652,0.08599984472314104,0.7772277227722773,0.7323665678280208,0.6820395877040956,0.11317614591969272,0.06398397959811342,5,0.09213479087471121,0.7372696532513632
theta,2023-01-01,2023-06-01,5,0.6758671522719389,0.7420113634821266,0.7930694872394308,0.642750116139561,0.4218254983623973,2023-01-01,0.6354852436592848,0.040381908612654116,0.731134707099793,0.7772277227722773,0.7323665678280208,0.08599984472314104,0.11317614591969272,6,0.04627284028464186,0.6817580839439267
theta,2023-01-01,2023-07-01,6,0.6331939941989422,0.7496123267227941,0.79667588254804,0.6336567101821592,0.4177709441758601,2023-01-01,0.6339703784070735,-0.0007763842081313088,0.6758671522719389,0.731134707099793,0.7772277227722773,0.040381908612654116,0.08599984472314104,7,0.006292844758490985,0.6402632231655645
theta,2023-01-01,2023-08-01,7,0.6369666008414184,0.7516093788109638,0.8017931192199995,0.6412718579143264,0.413298365663948,2023-01-01,0.6367101377883151,0.0002564630531033396,0.6331939941989422,0.6758671522719389,0.731134707099793,-0.0007763842081313088,0.040381908612654116,8,-0.0010877441725541859,0.6356223936157609
theta,2023-01-01,2023-09-01,8,0.5873963094633485,0.7701568465309413,0.8153207459293983,0.6482577244382567,0.408588074033691,2023-01-01,0.6449692401775401,-0.05757293071419156,0.6369666008414184,0.6331939941989422,0.6758671522719389,0.0002564630531033396,-0.0007763842081313088,9,-0.04605029482004423,0.5989189453574959
theta,2023-01-01,2023-10-01,9,0.5760417509507242,0.7718756911038274,0.8146671103195259,0.6227794531562836,0.4042232817998485,2023-01-01,0.6354799492453798,-0.059438198294655575,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.05757293071419156,0.0002564630531033396,10,-0.07414197693501166,0.5613379723103681
theta,2023-01-01,2023-11-01,10,0.5238689858772839,0.7405748478296327,0.8060710633945432,0.6002069811694242,0.4001926452354428,2023-01-01,0.6165706619321227,-0.09270167605483881,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.059438198294655575,-0.05757293071419156,11,-0.08567533020567568,0.5308953317264471
theta,2023-01-01,2023-12-01,11,0.423118024222275,0.7051818737780708,0.7955164599560033,0.5843422172177014,0.3964648411382258,2023-01-01,0.5986450110325852,-0.17552698681031015,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.09270167605483881,-0.059438198294655575,12,-0.16130079507200695,0.4373442159605782
theta,2023-01-01,2024-01-01,12,0.481831675224647,0.7101106893344152,0.8110498185022251,0.5956940845941912,0.3932045403949994,2023-01-01,0.6050680218642417,-0.12323634663959471,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.17552698681031015,-0.09270167605483881,1,-0.09982826942470265,0.505239752439539
theta,2023-02-01,2023-03-01,1,0.7323665678280208,0.7343935616246382,0.7545202878079973,0.7002684375618861,0.4665736759515269,2023-02-01,0.6595735933065321,0.0727929745214887,0.481831675224647,0.423118024222275,0.5238689858772839,-0.12323634663959471,-0.17552698681031015,3,-0.0270920102705368,0.6324815830359953
theta,2023-02-01,2023-04-01,2,0.7772277227722773,0.7390924564118736,0.7803519038739789,0.6728169980525834,0.4508048003206151,2023-02-01,0.650634702362288,0.1265930204099892,0.7323665678280208,0.481831675224647,0.423118024222275,0.0727929745214887,-0.12323634663959471,4,0.11632092363310653,0.7669556259953946
theta,2023-02-01,2023-05-01,3,0.731134707099793,0.7277475485393219,0.7827038513250856,0.6299523404855979,0.4381676095007845,2023-02-01,0.6296654759164882,0.10146923118330475,0.7772277227722773,0.7323665678280208,0.481831675224647,0.1265930204099892,0.0727929745214887,5,0.09920728290314157,0.7288727588196298
theta,2023-02-01,2023-06-01,4,0.6758671522719389,0.7147588493531656,0.7824435973435893,0.6144348853868262,0.4281806646920535,2023-02-01,0.6180483636269992,0.05781878864493972,0.731134707099793,0.7772277227722773,0.7323665678280208,0.10146923118330475,0.1265930204099892,6,0.05744367810546441,0.6754920417324637
theta,2023-02-01,2023-07-01,5,0.6331939941989422,0.7213158389411661,0.7859802157435067,0.6027952786766222,0.4201251414834049,2023-02-01,0.6143623805983902,0.018831613600551966,0.6758671522719389,0.731134707099793,0.7772277227722773,0.05781878864493972,0.10146923118330475,7,0.0185081850516234,0.6328705656500137
theta,2023-02-01,2023-08-01,6,0.6369666008414184,0.7225830175416491,0.7911910714547566,0.6057997928926094,0.4131992461743276,2023-02-01,0.6147026465570249,0.02226395428439354,0.6331939941989422,0.6758671522719389,0.731134707099793,0.018831613600551966,0.05781878864493972,8,0.016186312818338017,0.6308889593753629
theta,2023-02-01,2023-09-01,7,0.5873963094633485,0.7398476153869205,0.8043709528733897,0.6118502752503071,0.4068368075550364,2023-02-01,0.6218207818689343,-0.03442447240558577,0.6369666008414184,0.6331939941989422,0.6758671522719389,0.02226395428439354,0.018831613600551966,9,-0.029511686887094508,0.5923090949818398
theta,2023-02-01,2023-10-01,8,0.5760417509507242,0.7409885054992551,0.8037154922904386,0.5856899697830723,0.4004365603175843,2023-02-01,0.6114302919599677,-0.03538854100924349,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.03442447240558577,0.02226395428439354,10,-0.03944529973577557,0.5719849922241921
theta,2023-02-01,2023-11-01,9,0.5238689858772839,0.7106057155488087,0.7956013301148036,0.5668033327606374,0.3936038263845904,2023-02-01,0.5934397583581345,-0.06957077248085053,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.03538854100924349,-0.03442447240558577,11,-0.06244715962613988,0.5309925987319946
theta,2023-02-01,2023-12-01,10,0.423118024222275,0.6763913350572591,0.7851073286792044,0.5509874357700978,0.3854443771073728,2023-02-01,0.5747979268639143,-0.15167990264163927,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.06957077248085053,-0.03538854100924349,12,-0.14782699658429335,0.42697093027962096
theta,2023-02-01,2024-01-01,11,0.481831675224647,0.6809518437767565,0.7998592654296032,0.5568622129643637,0.3764344434686197,2023-02-01,0.5777165389283028,-0.09588486370365579,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.15167990264163927,-0.06957077248085053,1,-0.0898819259031263,0.4878346130251765
theta,2023-02-01,2024-02-01,12,0.452356061188408,0.6745212302209108,0.7980489890577208,0.5635105399212553,0.3655833769457947,2023-02-01,0.5752973276892168,-0.12294126650080883,0.481831675224647,0.423118024222275,0.5238689858772839,-0.09588486370365579,-0.15167990264163927,2,-0.1111071043765425,0.46419022331267434
theta,2023-03-01,2023-04-01,1,0.7772277227722773,0.7415218285627716,0.7992879412992907,0.7110899277351518,0.4469306514340794,2023-03-01,0.6659340326345624,0.11129369013771484,0.452356061188408,0.481831675224647,0.423118024222275,-0.12294126650080883,-0.09588486370365579,4,-0.05770989481281655,0.6082241378217459
theta,2023-03-01,2023-05-01,2,0.731134707099793,0.7282821814731744,0.8018320169807184,0.6688623998821932,0.4321528134065963,2023-03-01,0.6441375459349935,0.0869971611647995,0.7772277227722773,0.452356061188408,0.481831675224647,0.11129369013771484,-0.12294126650080883,5,0.09305822063969343,0.7371957665746869
theta,2023-03-01,2023-06-01,3,0.6758671522719389,0.7151157180189388,0.8012178613084786,0.6618089685687052,0.4183223577226269,2023-03-01,0.634426577442917,0.04144057482902197,0.731134707099793,0.7772277227722773,0.452356061188408,0.0869971611647995,0.11129369013771484,6,0.041528704365484496,0.6759552818084015
theta,2023-03-01,2023-07-01,4,0.6331939941989422,0.7207679820644572,0.804717833804489,0.6574201765720498,0.4055850023990932,2023-03-01,0.6318482344413763,0.0013457597575659008,0.6758671522719389,0.731134707099793,0.7772277227722773,0.04144057482902197,0.0869971611647995,7,0.006478331796792731,0.638326566238169
theta,2023-03-01,2023-08-01,5,0.6369666008414184,0.7215083454792096,0.8098562907595043,0.660456573233021,0.3932502154698462,2023-03-01,0.6307180828911784,0.006248517950240062,0.6331939941989422,0.6758671522719389,0.731134707099793,0.0013457597575659008,0.04144057482902197,8,0.002321788488617218,0.6330398713797956
theta,2023-03-01,2023-09-01,6,0.5873963094633485,0.738026760640884,0.8236220803029722,0.6595463084529,0.3790782642315415,2023-03-01,0.6333674959140103,-0.04597118645066178,0.6369666008414184,0.6331939941989422,0.6758671522719389,0.006248517950240062,0.0013457597575659008,9,-0.04257851790531377,0.5907889780086966
theta,2023-03-01,2023-10-01,7,0.5760417509507242,0.7386147124221776,0.8230442169230687,0.6347643019560215,0.3644372850588048,2023-03-01,0.6212930220728915,-0.045251271122167314,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.04597118645066178,0.006248517950240062,10,-0.06264727626553751,0.5586457458073539
theta,2023-03-01,2023-11-01,8,0.5238689858772839,0.7083024543852148,0.8145068096165833,0.6154643509095575,0.3482512594604955,2023-03-01,0.6008459493605989,-0.07697696348331495,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.045251271122167314,-0.04597118645066178,11,-0.07370354990869184,0.527142399451907
theta,2023-03-01,2023-12-01,9,0.423118024222275,0.6742824682334194,0.8039972931626332,0.6014923109099695,0.3307209447752312,2023-03-01,0.5806112408679363,-0.15749321664566124,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.07697696348331495,-0.045251271122167314,12,-0.15290181767618732,0.4277094231917489
theta,2023-03-01,2024-01-01,10,0.481831675224647,0.6786889094738787,0.8200863126014486,0.5970756512488389,0.3115154644388598,2023-03-01,0.577583597194179,-0.09575192196953197,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.15749321664566124,-0.07697696348331495,1,-0.09765386346432385,0.4799297337298551
theta,2023-03-01,2024-02-01,11,0.452356061188408,0.6721402410544672,0.8180810078350068,0.6008338545784091,0.2922964884505665,2023-03-01,0.5720612090789645,-0.11970514789055653,0.481831675224647,0.423118024222275,0.5238689858772839,-0.09575192196953197,-0.15749321664566124,2,-0.11077531410938878,0.4612858949695757
theta,2023-03-01,2024-03-01,12,0.440676836492891,0.7081800638186655,0.8422800983420358,0.6139928606586662,0.2765584956139297,2023-03-01,0.5861093460152393,-0.14543250952234832,0.452356061188408,0.481831675224647,0.423118024222275,-0.11970514789055653,-0.09575192196953197,3,-0.1049503304119351,0.4811590156033042
theta,2023-04-01,2023-05-01,1,0.731134707099793,0.7560586975099701,0.7946989951688933,0.7284596810877887,0.4029083052165223,2023-04-01,0.6648814405050514,0.06625326659474162,0.440676836492891,0.452356061188408,0.481831675224647,-0.14543250952234832,-0.11970514789055653,5,-0.05897988485868743,0.6059015556463639
theta,2023-04-01,2023-06-01,2,0.6758671522719389,0.7483969355153333,0.794375711583337,0.7278736848180318,0.3958642549941986,2023-04-01,0.6607009569311306,0.01516619534080832,0.731134707099793,0.440676836492891,0.452356061188408,0.06625326659474162,-0.14543250952234832,6,0.030007635242942008,0.6907085921740727
theta,2023-04-01,2023-07-01,3,0.6331939941989422,0.7555893217284356,0.7978696753243892,0.7306068717029457,0.3889459701419016,2023-04-01,0.6624605037026418,-0.029266509503699578,0.6758671522719389,0.731134707099793,0.440676836492891,0.01516619534080832,0.06625326659474162,7,-0.020428883923017983,0.6420316197796238
theta,2023-04-01,2023-08-01,4,0.6369666008414184,0.758498459835776,0.803145889533717,0.741224945888621,0.3819180848100065,2023-04-01,0.6659020060529619,-0.028935405211543475,0.6331939941989422,0.6758671522719389,0.731134707099793,-0.029266509503699578,0.01516619534080832,8,-0.041066003267982765,0.6248360027849791
theta,2023-04-01,2023-09-01,5,0.5873963094633485,0.7772942204995941,0.816482979877797,0.7457585287641587,0.3739831204817581,2023-04-01,0.6725719822799132,-0.08517567281656468,0.6369666008414184,0.6331939941989422,0.6758671522719389,-0.028935405211543475,-0.029266509503699578,9,-0.07114648117210534,0.6014255011078079
theta,2023-04-01,2023-10-01,6,0.5760417509507242,0.7789967384643683,0.8156781971118195,0.723022258227825,0.3655911026369434,2023-04-01,0.6630287207035873,-0.08698696975286313,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.08517567281656468,-0.028935405211543475,10,-0.09019416157387068,0.5728345591297166
theta,2023-04-01,2023-11-01,7,0.5238689858772839,0.7476688880548681,0.807616394191239,0.7030050380519767,0.3569387192321109,2023-04-01,0.643934095046936,-0.12006510916965207,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.08698696975286313,-0.08517567281656468,11,-0.10329563218685682,0.5406384628600792
theta,2023-04-01,2023-12-01,8,0.423118024222275,0.712173408452165,0.79713476348648,0.6917972100219566,0.3486666466741296,2023-04-01,0.6264947100061607,-0.20337668578388574,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.12006510916965207,-0.08698696975286313,12,-0.1859644189980156,0.4405302910081451
theta,2023-04-01,2024-01-01,9,0.481831675224647,0.7174378506650461,0.8124569995595537,0.6837645661419968,0.3410856578894657,2023-04-01,0.6252065106026701,-0.1433748353780231,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.20337668578388574,-0.12006510916965207,1,-0.1276257095678099,0.4975808010348602
theta,2023-04-01,2024-02-01,10,0.452356061188408,0.710841813933844,0.8107937357405639,0.6834944708152833,0.3326723209196708,2023-04-01,0.6209504605229534,-0.16859439933454545,0.481831675224647,0.423118024222275,0.5238689858772839,-0.1433748353780231,-0.20337668578388574,2,-0.12350015001040837,0.49745031051254507
theta,2023-04-01,2024-03-01,11,0.440676836492891,0.7495377053749204,0.8342297254756093,0.7074702404363012,0.3243333003248668,2023-04-01,0.6412376502185574,-0.20056081372566636,0.452356061188408,0.481831675224647,0.423118024222275,-0.16859439933454545,-0.1433748353780231,3,-0.14841971451981611,0.49281793569874127
theta,2023-04-01,2024-04-01,12,0.4724459797148317,0.7693265489117903,0.8479744065247452,0.7083302278321623,0.3157075634017658,2023-04-01,0.6468000638516228,-0.1743540841367911,0.440676836492891,0.452356061188408,0.481831675224647,-0.20056081372566636,-0.16859439933454545,4,-0.13588325576043078,0.510916808091192
theta,2023-05-01,2023-06-01,1,0.6758671522719389,0.7215052640395205,0.7756281132569752,0.7290396588924172,0.4711571276239127,2023-05-01,0.6694613576227137,0.006405794649225194,0.4724459797148317,0.440676836492891,0.452356061188408,-0.1743540841367911,-0.20056081372566636,6,-0.05294291575425551,0.6165184418684583
theta,2023-05-01,2023-07-01,2,0.6331939941989422,0.7273470545791381,0.7789266962138242,0.732129324246254,0.4551710991736797,2023-05-01,0.6687168056171483,-0.035522811418206124,0.6758671522719389,0.4724459797148317,0.440676836492891,0.006405794649225194,-0.1743540841367911,7,-0.02795377189483586,0.6407630337223125
theta,2023-05-01,2023-08-01,3,0.6369666008414184,0.7299450085176741,0.7839944585890491,0.7420790764722309,0.4392466729278262,2023-05-01,0.6696397748999122,-0.03267317405849379,0.6331939941989422,0.6758671522719389,0.4724459797148317,-0.035522811418206124,0.006405794649225194,8,-0.04061664392706998,0.6290231309728422
theta,2023-05-01,2023-09-01,4,0.5873963094633485,0.7478145660973137,0.796900715459375,0.7459966333874235,0.4229129355694186,2023-05-01,0.6737262402567152,-0.0863299307933667,0.6369666008414184,0.6331939941989422,0.6758671522719389,-0.03267317405849379,-0.035522811418206124,9,-0.07336087206091614,0.6003653681957991
theta,2023-05-01,2023-10-01,5,0.5760417509507242,0.7493384390293201,0.7960971618181547,0.723889505334759,0.4064776781555905,2023-05-01,0.6623864700566836,-0.08634471910595942,0.5873963094633485,0.6369666008414184,0.6331939941989422,-0.0863299307933667,-0.03267317405849379,10,-0.09151695169175213,0.5708695183649315
theta,2023-05-01,2023-11-01,6,0.5238689858772839,0.7190629520928872,0.7883030410698808,0.7056955240548811,0.3896629943084089,2023-05-01,0.6422690589532158,-0.11840007307593192,0.5760417509507242,0.5873963094633485,0.6369666008414184,-0.08634471910595942,-0.0863299307933667,11,-0.10275845029368982,0.539510608659526
theta,2023-05-01,2023-12-01,7,0.423118024222275,0.6848158813639924,0.778260140543767,0.694085918476267,0.3721869264299974,2023-05-01,0.6228574498279004,-0.19973942560562535,0.5238689858772839,0.5760417509507242,0.5873963094633485,-0.11840007307593192,-0.08634471910595942,12,-0.18319415827629526,0.4396632915516051
theta,2023-05-01,2024-01-01,8,0.481831675224647,0.6897926451672057,0.7933419383740031,0.6864118820052596,0.354643963055497,2023-05-01,0.6191501102979708,-0.13731843507332386,0.423118024222275,0.5238689858772839,0.5760417509507242,-0.19973942560562535,-0.11840007307593192,1,-0.12324271919521639,0.49590739110275445
theta,2023-05-01,2024-02-01,9,0.452356061188408,0.6834025758042079,0.7919547039232506,0.6851592042185705,0.3348149646933691,2023-05-01,0.6118590601656484,-0.1595029989772404,0.481831675224647,0.423118024222275,0.5238689858772839,-0.13731843507332386,-0.19973942560562535,2,-0.12924335850331936,0.48261570166232903
theta,2023-05-01,2024-03-01,10,0.440676836492891,0.7205937123163481,0.8144692097912671,0.7105414380787028,0.3144641899985751,2023-05-01,0.629156834655905,-0.18847999816301397,0.452356061188408,0.481831675224647,0.423118024222275,-0.1595029989772404,-0.13731843507332386,3,-0.15547527574544984,0.47368155891045516
theta,2023-05-01,2024-04-01,11,0.4724459797148317,0.7395759786036312,0.8277139274875055,0.7130590448485777,0.292958615871805,2023-05-01,0.6318575658214518,-0.1594115861066201,0.440676836492891,0.452356061188408,0.481831675224647,-0.18847999816301397,-0.1595029989772404,4,-0.12915385369114657,0.5027037121303053
theta,2023-05-01,2024-05-01,12,0.4465886868979503,0.7298886280609047,0.8274011397804558,0.7044075536070916,0.2727272287678055,2023-05-01,0.6210730699117344,-0.1744843830137841,0.4724459797148317,0.440676836492891,0.452356061188408,-0.1594115861066201,-0.18847999816301397,5,-0.13693556592109896,0.48413750399063543
