target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
unemployment,2022-12-01,2023-04-01,4,1080700.0,1049803.3083208278,1050283.129621511,1130547.000105094,1099786.794387905,2022-12-01,1086478.6868400795,-5778.686840079492,1079200.0,1096300.0,1083700.0,3862.0004604612477,35905.967473750934,4,-3936.4697980375677,1082542.217042042
unemployment,2022-12-01,2023-05-01,5,1111300.0,1049802.8008259716,1050283.129621511,1159673.3712930526,1112846.3105923417,2022-12-01,1098649.8772328503,12650.122767149704,1080700.0,1079200.0,1096300.0,-5778.686840079492,3862.0004604612477,5,8970.636653130188,1107620.5138859805
unemployment,2022-12-01,2023-06-01,6,1153200.0,1049802.726562465,1050283.129621511,1171418.159106623,1127318.397838757,2022-12-01,1105442.975262574,47757.02473742608,1111300.0,1080700.0,1079200.0,12650.122767149704,-5778.686840079492,6,40888.8961558615,1146331.8714184354
unemployment,2022-12-01,2023-07-01,7,1172200.0,1049802.715695223,1050283.129621511,1185074.8913072865,1142611.779445277,2022-12-01,1113027.6838811063,59172.31611889368,1153200.0,1111300.0,1080700.0,47757.02473742608,12650.122767149704,7,60212.36050598012,1173240.0443870865
unemployment,2022-12-01,2023-08-01,8,1164700.0,1049802.7141049814,1050283.129621511,1187245.6783557397,1158089.6344550718,2022-12-01,1116905.0496638124,47794.95033618761,1172200.0,1153200.0,1111300.0,59172.31611889368,47757.02473742608,8,67252.88706445723,1184157.9367282696
unemployment,2022-12-01,2023-09-01,9,1181400.0,1049802.7138722755,1050283.129621511,1197886.4519101,1177454.648183539,2022-12-01,1124340.162790078,57059.83720992203,1164700.0,1172200.0,1153200.0,47794.95033618761,59172.31611889368,9,61760.36006177873,1186100.5228518567
unemployment,2022-12-01,2023-10-01,10,1235900.0,1049802.7138382215,1050283.129621511,1208646.2811499287,1201697.2536561163,2022-12-01,1132812.9291156502,103087.07088434976,1181400.0,1164700.0,1172200.0,57059.83720992203,47794.95033618761,10,88192.5911513237,1221005.5202669739
unemployment,2022-12-01,2023-11-01,11,1253300.0,1049802.713833239,1050283.129621511,1215736.5483016442,1230167.6966745935,2022-12-01,1140954.9704713025,112345.02952869749,1235900.0,1181400.0,1164700.0,103087.07088434976,57059.83720992203,11,100555.54182484448,1241510.512296147
unemployment,2022-12-01,2023-12-01,12,1263300.0,1049802.71383251,1050283.129621511,1221302.098040957,1260242.4456817284,2022-12-01,1148928.3905160194,114371.60948398057,1253300.0,1235900.0,1181400.0,112345.02952869749,103087.07088434976,12,120701.33940414214,1269629.7299201617
unemployment,2023-01-01,2023-02-01,1,1096300.0,1088538.6996341955,1089096.8023937922,1098816.3829904064,1083606.0624433933,2023-01-01,1091010.4475784183,5289.552421581699,1263300.0,1253300.0,1235900.0,114371.60948398057,112345.02952869749,2,77701.65666395391,1168712.1042423723
