target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
vacancies,2022-12-01,2023-04-01,4,839950.0,787861.8697369224,858769.783616485,760760.338829302,519472.9003008442,2022-12-01,734751.1398139963,105198.86018600373,790370.0,747720.0,788280.0,56409.99063401122,42766.80234733573,4,89024.68188594488,823775.8216999412
vacancies,2022-12-01,2023-05-01,5,812510.0,773884.875795782,861678.7671582951,733860.6177044661,507179.617847336,2022-12-01,718089.6182855915,94420.38171440852,839950.0,790370.0,747720.0,105198.86018600373,56409.99063401122,5,89502.3142785781,807591.9325641696
vacancies,2022-12-01,2023-06-01,6,779410.0,759390.7282868505,861327.3484531475,718687.061099276,496109.3116264034,2022-12-01,705358.4395422476,74051.56045775244,812510.0,839950.0,790370.0,94420.38171440852,105198.86018600373,6,69354.73727799063,774713.1768202382
vacancies,2022-12-01,2023-07-01,7,742230.0,765909.5034781744,865223.0300291702,701863.5194736369,486905.2659422753,2022-12-01,700317.287543998,41912.71245600202,779410.0,812510.0,839950.0,74051.56045775244,94420.38171440852,7,40322.07134735628,740639.3588913543
vacancies,2022-12-01,2023-08-01,8,741875.0,766923.3034541054,870836.3701935753,712530.700944118,479131.0519120211,2022-12-01,703588.5301000794,38286.46989992063,742230.0,779410.0,812510.0,41912.71245600202,74051.56045775244,8,33251.59549760716,736840.1255976865
vacancies,2022-12-01,2023-09-01,9,693950.0,785215.1068366352,885445.5466414622,723064.0941694739,470964.9648146915,2022-12-01,713791.7827054278,-19841.782705427846,741875.0,742230.0,779410.0,38286.46989992063,41912.71245600202,9,-7119.782934827821,706671.9997706
vacancies,2022-12-01,2023-10-01,10,711930.0,786542.338168248,884569.447296033,708904.3384739746,464568.0285792728,2022-12-01,707911.5049922206,4018.495007779449,693950.0,741875.0,742230.0,-19841.782705427846,38286.46989992063,10,-11320.188509625375,696591.3164825952
vacancies,2022-12-01,2023-11-01,11,656565.0,754023.6953057863,875294.9920774756,678226.0334302984,459706.84654692863,2022-12-01,683474.200484907,-26909.20048490702,711930.0,693950.0,741875.0,4018.495007779449,-19841.782705427846,11,-35135.76572731577,648338.4347575912
vacancies,2022-12-01,2023-12-01,12,534525.0,717459.9089619807,863779.3117717565,649365.4893841048,456940.4219148767,2022-12-01,658415.9655890283,-123890.96558902832,656565.0,711930.0,693950.0,-26909.20048490702,4018.495007779449,12,-125878.77163555117,532537.1939534772
vacancies,2023-01-01,2023-02-01,1,747720.0,768218.9569699689,819588.1752151398,780058.221629577,533770.118672764,2023-01-01,733527.7797009305,14192.220299069537,534525.0,656565.0,711930.0,-123890.96558902832,-26909.20048490702,2,-27118.532620612597,706409.2470803178
vacancies,2023-01-01,2023-03-01,2,790370.0,824652.4483297954,832031.7008385241,821006.5105900236,527990.8483783216,2023-01-01,768519.0702167321,21850.9297832679,747720.0,534525.0,656565.0,14192.220299069537,-123890.96558902832,3,20894.366218565425,789413.4364352975
vacancies,2023-01-01,2023-04-01,3,839950.0,833785.6084768736,861207.738257686,810884.7183678016,522457.8834605232,2023-01-01,769942.8232553175,70007.17674468248,790370.0,747720.0,534525.0,21850.9297832679,14192.220299069537,4,55894.960883674496,825837.784138992
vacancies,2023-01-01,2023-05-01,4,812510.0,821781.8781597527,864171.625496589,778198.4911583037,517320.46781943965,2023-01-01,753259.4342911483,59250.565708851675,839950.0,790370.0,747720.0,70007.17674468248,21850.9297832679,5,68042.21678200095,821301.6510731493
