target,origin,feature,importance
theta,2023-04-01,horizon,0.1410162890851843
theta,2023-04-01,origin_month,0.006417773759864965
theta,2023-04-01,origin_quarter,0.00404661692010546
theta,2023-04-01,forecast_month,0.08024551636317862
theta,2023-04-01,forecast_quarter,0.03050367296150478
theta,2023-04-01,forecast_year,0.00199872246240161
theta,2023-04-01,origin_index,0.00803443499829845
theta,2023-04-01,ensemble_pred,0.056918619425495365
theta,2023-04-01,sarimax_pred,0.03193656507795032
theta,2023-04-01,tbats_prophet_pred,0.034203953162631445
theta,2023-04-01,var_pred,0.0761064602390637
theta,2023-04-01,bilstm_pred,0.04364444508556905
theta,2023-04-01,pred_mean,0.10029918102461734
theta,2023-04-01,pred_std,0.028998520081918767
theta,2023-04-01,pred_range,0.07966917921891578
theta,2023-04-01,sarimax_minus_var,0.02012340351043846
theta,2023-04-01,tbats_minus_bilstm,0.07289404723019464
theta,2023-04-01,ensemble_minus_predmean,0.002971983145402172
theta,2023-04-01,w_sarimax,0.0020219407983696923
theta,2023-04-01,w_tbats_prophet,0.0060208878587920435
theta,2023-04-01,w_var,0.0022616998252650384
theta,2023-04-01,w_bilstm,0.0026014777881360448
theta,2023-04-01,weight_entropy_proxy,0.0037854501636693473
theta,2023-04-01,past_resid_mean_all,0.024751969605290552
theta,2023-04-01,past_resid_std_all,0.03218617096143204
theta,2023-04-01,past_resid_mean_h,0.060194696656029084
theta,2023-04-01,past_resid_std_h,0.005973735116835172
theta,2023-04-01,past_resid_mean_fmonth,0.04017258747344587
theta,2023-05-01,horizon,0.07273636496109731
theta,2023-05-01,origin_month,0.009927440690152155
theta,2023-05-01,origin_quarter,0.00743367431598666
theta,2023-05-01,forecast_month,0.05775058057602943
theta,2023-05-01,forecast_quarter,0.018781799124148638
theta,2023-05-01,forecast_year,0.0014451867749218528
theta,2023-05-01,origin_index,0.017179572365566203
theta,2023-05-01,ensemble_pred,0.03433663236674311
theta,2023-05-01,sarimax_pred,0.014933036922433899
theta,2023-05-01,tbats_prophet_pred,0.05065475890934495
theta,2023-05-01,var_pred,0.01640389213526605
theta,2023-05-01,bilstm_pred,0.08728508010683567
theta,2023-05-01,pred_mean,0.019775031882950798
theta,2023-05-01,pred_std,0.07537774845916485
theta,2023-05-01,pred_range,0.09096184682416718
theta,2023-05-01,sarimax_minus_var,0.013234708430951697
theta,2023-05-01,tbats_minus_bilstm,0.09668528687943831
theta,2023-05-01,ensemble_minus_predmean,0.004805586519524326
theta,2023-05-01,w_sarimax,0.00557030058816217
theta,2023-05-01,w_tbats_prophet,0.015245062589411655
theta,2023-05-01,w_var,0.013272718194553718
theta,2023-05-01,w_bilstm,0.0044533718223827455
theta,2023-05-01,weight_entropy_proxy,0.005327366214413025
theta,2023-05-01,past_resid_mean_all,0.05996017240756251
theta,2023-05-01,past_resid_std_all,0.04433483965234251
theta,2023-05-01,past_resid_mean_h,0.0821772421313616
theta,2023-05-01,past_resid_std_h,0.017307968989981493
theta,2023-05-01,past_resid_mean_fmonth,0.0626427291651056
theta,2023-06-01,horizon,0.0581694599894399
theta,2023-06-01,origin_month,0.013106181884048074
theta,2023-06-01,origin_quarter,0.010108185178325643
theta,2023-06-01,forecast_month,0.054313398943040575
theta,2023-06-01,forecast_quarter,0.02885801312980598
theta,2023-06-01,forecast_year,0.0017391566371983435
theta,2023-06-01,origin_index,0.031226508102924884
theta,2023-06-01,ensemble_pred,0.03167577988693217
theta,2023-06-01,sarimax_pred,0.016334913671856514
theta,2023-06-01,tbats_prophet_pred,0.02003095347134388
theta,2023-06-01,var_pred,0.022468999581366143
theta,2023-06-01,bilstm_pred,0.062372494297627354
theta,2023-06-01,pred_mean,0.018640710090811023
theta,2023-06-01,pred_std,0.059768230406025497
theta,2023-06-01,pred_range,0.05940194223538511
theta,2023-06-01,sarimax_minus_var,0.020099869358625438
theta,2023-06-01,tbats_minus_bilstm,0.06569308023443127
theta,2023-06-01,ensemble_minus_predmean,0.008435945678994033
theta,2023-06-01,w_sarimax,0.009283420786269363
theta,2023-06-01,w_tbats_prophet,0.027035637460691007
theta,2023-06-01,w_var,0.04134333305294686
theta,2023-06-01,w_bilstm,0.008396008692106027
theta,2023-06-01,weight_entropy_proxy,0.011919552213110748
theta,2023-06-01,past_resid_mean_all,0.07609789930547024
theta,2023-06-01,past_resid_std_all,0.03429539977473158
theta,2023-06-01,past_resid_mean_h,0.09546023955741806
theta,2023-06-01,past_resid_std_h,0.03529318938168597
theta,2023-06-01,past_resid_mean_fmonth,0.07843149699738818
theta,2023-07-01,horizon,0.06940240812025368
theta,2023-07-01,origin_month,0.006382190407813352
theta,2023-07-01,origin_quarter,0.005403047056840758
theta,2023-07-01,forecast_month,0.06588009200995963
theta,2023-07-01,forecast_quarter,0.024725763884131034
theta,2023-07-01,forecast_year,0.002948531619759192
theta,2023-07-01,origin_index,0.0409643230851212
theta,2023-07-01,ensemble_pred,0.041687142948852056
theta,2023-07-01,sarimax_pred,0.017108922804748263
theta,2023-07-01,tbats_prophet_pred,0.01166175444037671
theta,2023-07-01,var_pred,0.021390325262550802
theta,2023-07-01,bilstm_pred,0.05526580584089484
theta,2023-07-01,pred_mean,0.02777206910487065
theta,2023-07-01,pred_std,0.019665299420931377
theta,2023-07-01,pred_range,0.0273674930328656
theta,2023-07-01,sarimax_minus_var,0.024295621471589736
theta,2023-07-01,tbats_minus_bilstm,0.035052770620138694
theta,2023-07-01,ensemble_minus_predmean,0.012114199624566556
theta,2023-07-01,w_sarimax,0.013329248765486268
theta,2023-07-01,w_tbats_prophet,0.04139076809799759
theta,2023-07-01,w_var,0.05550479040321983
theta,2023-07-01,w_bilstm,0.010640676088231611
theta,2023-07-01,weight_entropy_proxy,0.018147848847139627
theta,2023-07-01,past_resid_mean_all,0.08038511956439641
theta,2023-07-01,past_resid_std_all,0.02770232644404899
theta,2023-07-01,past_resid_mean_h,0.12467251471927927
theta,2023-07-01,past_resid_std_h,0.04079284665342482
theta,2023-07-01,past_resid_mean_fmonth,0.07834609966051136
theta,2023-08-01,horizon,0.07166193375584487
theta,2023-08-01,origin_month,0.006443874586938724
theta,2023-08-01,origin_quarter,0.007658758736855755
theta,2023-08-01,forecast_month,0.06778297619567472
theta,2023-08-01,forecast_quarter,0.025232006872551088
theta,2023-08-01,forecast_year,0.0021078366020181897
theta,2023-08-01,origin_index,0.03567691801971426
theta,2023-08-01,ensemble_pred,0.04711733624128839
theta,2023-08-01,sarimax_pred,0.018835594100891022
theta,2023-08-01,tbats_prophet_pred,0.01163436842772471
theta,2023-08-01,var_pred,0.024089855484453415
theta,2023-08-01,bilstm_pred,0.04242685794783986
theta,2023-08-01,pred_mean,0.026403401108307818
theta,2023-08-01,pred_std,0.01739158141290237
theta,2023-08-01,pred_range,0.02175665708035464
theta,2023-08-01,sarimax_minus_var,0.029783615141635238
theta,2023-08-01,tbats_minus_bilstm,0.030113826764800265
theta,2023-08-01,ensemble_minus_predmean,0.011823092929438719
theta,2023-08-01,w_sarimax,0.018666119311381513
theta,2023-08-01,w_tbats_prophet,0.0524679199456349
theta,2023-08-01,w_var,0.05507272342115344
theta,2023-08-01,w_bilstm,0.01374838630699752
theta,2023-08-01,weight_entropy_proxy,0.019989923787315678
theta,2023-08-01,past_resid_mean_all,0.07634424616091505
