origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2022-12-01,2023-01-01,1,1083700.0,1049992.4502765606,1050283.129621511,1049085.6102249422,1066133.7802873803,0.25,0.25,0.25,0.25,1053873.7426025984,29826.257397401612,0.0,1053873.7426025984,fallback_zero
2022-12-01,2023-02-01,2,1096300.0,1049830.476499329,1050283.129621511,1065547.6403194324,1075872.0367762556,0.25,0.25,0.25,0.25,1060383.320804132,35916.679195868084,0.0,1060383.320804132,fallback_zero
2022-12-01,2023-03-01,3,1079200.0,1049806.7763963067,1050283.129621511,1103972.529069014,1087692.8589025687,0.25,0.25,0.25,0.25,1072938.82349735,6261.176502649905,0.0,1072938.82349735,fallback_zero
2022-12-01,2023-04-01,4,1080700.0,1049803.3083208278,1050283.129621511,1130547.000105094,1099786.794387905,0.25,0.25,0.25,0.25,1082605.0581088343,-1905.058108834317,0.0,1082605.0581088343,fallback_zero
2022-12-01,2023-05-01,5,1111300.0,1049802.8008259716,1050283.129621511,1159673.3712930526,1112846.3105923417,0.25,0.25,0.25,0.25,1093151.4030832192,18148.596916780807,0.0,1093151.4030832192,fallback_zero
2022-12-01,2023-06-01,6,1153200.0,1049802.726562465,1050283.129621511,1171418.159106623,1127318.397838757,0.25,0.25,0.25,0.25,1099705.603282339,53494.39671766106,0.0,1099705.603282339,fallback_zero
2022-12-01,2023-07-01,7,1172200.0,1049802.715695223,1050283.129621511,1185074.8913072865,1142611.779445277,0.25,0.25,0.25,0.25,1106943.1290173244,65256.87098267558,0.0,1106943.1290173244,fallback_zero
2022-12-01,2023-08-01,8,1164700.0,1049802.7141049814,1050283.129621511,1187245.6783557397,1158089.6344550718,0.25,0.25,0.25,0.25,1111355.289134326,53344.710865674075,0.0,1111355.289134326,fallback_zero
2022-12-01,2023-09-01,9,1181400.0,1049802.7138722755,1050283.129621511,1197886.4519101,1177454.648183539,0.25,0.25,0.25,0.25,1118856.7358968563,62543.26410314371,0.0,1118856.7358968563,fallback_zero
2022-12-01,2023-10-01,10,1235900.0,1049802.7138382215,1050283.129621511,1208646.2811499287,1201697.2536561163,0.25,0.25,0.25,0.25,1127607.3445664444,108292.6554335556,0.0,1127607.3445664444,fallback_zero
2022-12-01,2023-11-01,11,1253300.0,1049802.713833239,1050283.129621511,1215736.5483016442,1230167.6966745935,0.25,0.25,0.25,0.25,1136497.522107747,116802.47789225308,0.0,1136497.522107747,fallback_zero
2022-12-01,2023-12-01,12,1263300.0,1049802.71383251,1050283.129621511,1221302.098040957,1260242.4456817284,0.25,0.25,0.25,0.25,1145407.5967941766,117892.40320582339,0.0,1145407.5967941766,fallback_zero
2023-01-01,2023-02-01,1,1096300.0,1088538.6996341955,1089096.8023937922,1098816.3829904064,1083606.0624433933,0.25,0.25,0.25,0.25,1090014.486865447,6285.513134553097,0.0,1090014.486865447,fallback_zero
2023-01-01,2023-03-01,2,1079200.0,1089246.261613706,1089096.8023937922,1131920.626852195,1095743.3578386763,0.25,0.25,0.25,0.25,1101501.7621745924,-22301.762174592353,0.0,1101501.7621745924,fallback_zero
2023-01-01,2023-04-01,3,1080700.0,1089349.5030025614,1089096.8023937922,1158274.5935945068,1107225.2288946295,0.25,0.25,0.25,0.25,1110986.531971373,-30286.531971372897,0.0,1110986.531971373,fallback_zero
2023-01-01,2023-05-01,4,1111300.0,1089364.562313321,1089096.8023937922,1184359.8169127486,1119270.7761916248,0.25,0.25,0.25,0.25,1120522.9894528715,-9222.989452871494,0.0,1120522.9894528715,fallback_zero
2023-01-01,2023-06-01,5,1153200.0,1089366.7588386207,1089096.8023937922,1194577.418813659,1131340.7912757492,0.25,0.25,0.25,0.25,1126095.4428304553,27104.557169544743,0.0,1126095.4428304553,fallback_zero
2023-01-01,2023-07-01,6,1172200.0,1089367.0792178742,1089096.8023937922,1196248.9576163644,1143462.614781713,0.25,0.25,0.25,0.25,1129543.863502436,42656.136497563915,0.0,1129543.863502436,fallback_zero
2023-01-01,2023-08-01,7,1164700.0,1089367.1259474815,1089096.8023937922,1203490.9390146,1155642.4399854173,0.25,0.25,0.25,0.25,1134399.326835323,30300.673164677108,0.0,1134399.326835323,fallback_zero
2023-01-01,2023-09-01,8,1181400.0,1089367.1327633292,1089096.8023937922,1212601.984675904,1168117.1621396414,0.25,0.25,0.25,0.25,1139795.7704931663,41604.22950683371,0.0,1139795.7704931663,fallback_zero
2023-01-01,2023-10-01,9,1235900.0,1089367.133757469,1089096.8023937922,1221476.9562247663,1179674.7477440692,0.25,0.25,0.25,0.25,1144903.9100300244,90996.08996997564,0.0,1144903.9100300244,fallback_zero
2023-01-01,2023-11-01,10,1253300.0,1089367.1339024722,1089096.8023937922,1220929.095358093,1190867.7843211645,0.25,0.25,0.25,0.25,1147565.203993881,105734.79600611911,0.0,1147565.203993881,fallback_zero
2023-01-01,2023-12-01,11,1263300.0,1089367.1339236211,1089096.8023937922,1224868.466942073,1200547.2129487318,0.25,0.25,0.25,0.25,1150969.9040520545,112330.09594794549,0.0,1150969.9040520545,fallback_zero
2023-01-01,2024-01-01,12,1246400.0,1089367.1339267057,1089096.8023937922,1227555.441179433,1208952.7437594975,0.25,0.25,0.25,0.25,1153743.0303148571,92656.96968514286,0.0,1153743.0303148571,fallback_zero
2023-02-01,2023-03-01,1,1079200.0,1098155.75568208,1097447.5957227382,1131435.9402928883,1069491.2931082644,0.25,0.25,0.25,0.25,1099132.6462014928,-19932.646201492753,0.0,1099132.6462014928,fallback_zero
2023-02-01,2023-04-01,2,1080700.0,1098427.5353320225,1097447.5957227382,1159493.3087381455,1084395.8770298634,0.25,0.25,0.25,0.25,1109941.0792056925,-29241.079205692513,0.0,1109941.0792056925,fallback_zero
2023-02-01,2023-05-01,3,1111300.0,1098467.305160567,1097447.5957227382,1187130.3473739268,1100093.8101636996,0.25,0.25,0.25,0.25,1120784.764605233,-9484.76460523298,0.0,1120784.764605233,fallback_zero
2023-02-01,2023-06-01,4,1153200.0,1098473.124020713,1097447.5957227382,1201186.9708304843,1116434.2196293788,0.25,0.25,0.25,0.25,1128385.4775508286,24814.522449171403,0.0,1128385.4775508286,fallback_zero
